ncName,ncID,transID
LOC100131564,NONHSAG002086,NONHSAT226907.1
LOC100131564,NONHSAG002086,NONHSAT226908.1
LOC100131564,NONHSAG002086,NONHSAT226909.1
LOC100131564,NONHSAG002086,NONHSAT226910.1
LOC100131564,NONHSAG002086,NONHSAT226911.1
DPYD-AS1,NONHSAG002167,NONHSAT004715.2
DPYD-AS1,NONHSAG002167,NONHSAT149430.1
DPYD-AS1,NONHSAG002167,NONHSAT149431.1
DPYD-AS1,NONHSAG002167,NONHSAT149432.1
RP4-714D9.2,NONHSAG002205,NONHSAT004776.2
RP5-1160K1.6,NONHSAG002346,NONHSAT005052.2
RP5-1160K1.6,NONHSAG002346,NONHSAT152064.1
RP5-1180E21.5,NONHSAG058028,NONHSAT152088.1
RP11-552M11.4,NONHSAG002408,NONHSAT005182.2
RP11-552M11.4,NONHSAG002408,NONHSAT005183.2
RP11-552M11.4,NONHSAG002408,NONHSAT152093.1
RP11-552M11.4,NONHSAG002408,NONHSAT227013.1
RP11-426L16.3,NONHSAG002445,NONHSAT005273.2
RP11-426L16.3,NONHSAG002445,NONHSAT152114.1
ATP1A1OS,NONHSAG002530,NONHSAT005424.2
ATP1A1OS,NONHSAG002530,NONHSAT005428.2
ATP1A1OS,NONHSAG002530,NONHSAT005430.2
ATP1A1OS,NONHSAG002530,NONHSAT005431.2
ATP1A1OS,NONHSAG002530,NONHSAT005432.2
RP11-315I20.1,NONHSAG002701,NONHSAT005925.2
RP11-315I20.1,NONHSAG002701,NONHSAT005926.2
RP11-315I20.1,NONHSAG002701,NONHSAT005927.2
RP11-315I20.1,NONHSAG002701,NONHSAT005928.2
RP11-315I20.1,NONHSAG002701,NONHSAT005929.2
RP11-315I20.1,NONHSAG002701,NONHSAT005930.2
RP11-315I20.1,NONHSAG002701,NONHSAT005931.2
RP11-315I20.1,NONHSAG002701,NONHSAT005932.2
RP11-315I20.1,NONHSAG002701,NONHSAT005933.2
RP11-315I20.1,NONHSAG002701,NONHSAT005934.2
RP11-315I20.1,NONHSAG002701,NONHSAT005935.2
RP11-315I20.1,NONHSAG002701,NONHSAT005936.2
RP11-315I20.1,NONHSAG002701,NONHSAT005937.2
RP11-315I20.1,NONHSAG002701,NONHSAT005938.2
RP11-315I20.1,NONHSAG002701,NONHSAT005939.2
RP11-315I20.1,NONHSAG002701,NONHSAT005940.2
RP11-315I20.1,NONHSAG002701,NONHSAT005941.2
RP11-315I20.1,NONHSAG002701,NONHSAT005943.2
RP11-315I20.1,NONHSAG002701,NONHSAT005944.2
RP11-315I20.1,NONHSAG002701,NONHSAT149716.1
RP11-315I20.1,NONHSAG002701,NONHSAT225479.1
RP11-315I20.1,NONHSAG002701,NONHSAT225480.1
RP11-315I20.1,NONHSAG002701,NONHSAT225481.1
RP11-315I20.1,NONHSAG002701,NONHSAT225482.1
RP11-315I20.1,NONHSAG002701,NONHSAT225483.1
RP11-315I20.1,NONHSAG002701,NONHSAT225484.1
RP11-315I20.1,NONHSAG002701,NONHSAT225485.1
RP11-315I20.1,NONHSAG002701,NONHSAT225486.1
RP11-315I20.1,NONHSAG002701,NONHSAT225487.1
RP11-315I20.1,NONHSAG002701,NONHSAT225488.1
RP11-337C18.8,NONHSAG002728,NONHSAT006003.2
RP11-337C18.8,NONHSAG002728,NONHSAT149727.1
RP11-337C18.8,NONHSAG002728,NONHSAT149728.1
RP11-337C18.8,NONHSAG002728,NONHSAT149729.1
RP11-337C18.8,NONHSAG002728,NONHSAT149730.1
RP11-337C18.8,NONHSAG002728,NONHSAT225499.1
RP11-337C18.8,NONHSAG002728,NONHSAT225500.1
RP11-316M1.12,NONHSAG002881,NONHSAT006340.2
RP11-316M1.12,NONHSAG002881,NONHSAT006341.2
RP11-316M1.3,NONHSAG002883,NONHSAT006344.2
RP11-316M1.3,NONHSAG002883,NONHSAT149794.1
NBPF18P,NONHSAG002943,NONHSAT006458.2
NBPF18P,NONHSAG002943,NONHSAT006459.2
NBPF18P,NONHSAG002943,NONHSAT006460.2
NBPF18P,NONHSAG002943,NONHSAT149812.1
NBPF18P,NONHSAG002943,NONHSAT225563.1
NBPF18P,NONHSAG002943,NONHSAT225566.1
NBPF18P,NONHSAG002943,NONHSAT225567.1
BX470102.3,NONHSAG002975,NONHSAT006522.2
BX470102.3,NONHSAG002975,NONHSAT149841.1
S100A13,NONHSAG002978,NONHSAT006529.2
S100A13,NONHSAG002978,NONHSAT006530.2
S100A13,NONHSAG002978,NONHSAT006531.2
S100A13,NONHSAG002978,NONHSAT006532.2
S100A13,NONHSAG002978,NONHSAT152330.1
S100A13,NONHSAG002978,NONHSAT227176.1
S100A13,NONHSAG002978,NONHSAT227177.1
S100A13,NONHSAG002978,NONHSAT227178.1
RP11-216N14.8,NONHSAG002985,NONHSAT006543.2
RP11-216N14.8,NONHSAG002985,NONHSAT006544.2
UBE2Q1-AS1,NONHSAG003021,NONHSAT006626.2
UBE2Q1-AS1,NONHSAG003021,NONHSAT149860.1
RUSC1-AS1,NONHSAG003068,NONHSAT006726.2
RUSC1-AS1,NONHSAG003068,NONHSAT006727.2
RUSC1-AS1,NONHSAG003068,NONHSAT006728.2
RUSC1-AS1,NONHSAG003068,NONHSAT006729.2
RUSC1-AS1,NONHSAG003068,NONHSAT152370.1
RUSC1-AS1,NONHSAG003068,NONHSAT227197.1
RP11-525G13.2,NONHSAG003347,NONHSAT007339.2
RP11-525G13.2,NONHSAG003347,NONHSAT152485.1
RP5-1180C10.2,NONHSAG003623,NONHSAT152606.1
RP11-739N20.2,NONHSAG004027,NONHSAT008942.2
RP11-739N20.2,NONHSAG004027,NONHSAT150353.1
RP11-378J18.8,NONHSAG058499,NONHSAT153013.1
RP11-285F7.2,NONHSAG004457,NONHSAT153043.1
RP11-285F7.2,NONHSAG004457,NONHSAT227685.1
RP11-275I14.4,NONHSAG004471,NONHSAT009877.2
RP11-275I14.4,NONHSAG004471,NONHSAT150657.1
RP11-275I14.4,NONHSAG004471,NONHSAT226037.1
RP11-275I14.4,NONHSAG004471,NONHSAT226038.1
