ncName,ncID,transID
Gm13029,NONMMUG031138,NONMMUT050281.2
Gm13029,NONMMUG031138,NONMMUT115839.1
Gm13029,NONMMUG031138,NONMMUT115841.1
Gm13031,NONMMUG031157,NONMMUT050305.2
Gm13031,NONMMUG031157,NONMMUT117550.1
Gm13031,NONMMUG031157,NONMMUT117551.1
Gm13038,NONMMUG031231,NONMMUT050424.2
Gm13042,NONMMUG031242,NONMMUT050436.2
Gm13052,NONMMUG031221,NONMMUT050410.2
Gm13052,NONMMUG031221,NONMMUT117573.1
Gm13053,NONMMUG031211,NONMMUT050390.2
Gm13053,NONMMUG031211,NONMMUT117563.1
Gm13054,NONMMUG031343,NONMMUT050578.2
Gm13055,NONMMUG031168,NONMMUT050324.2
Gm13055,NONMMUG031168,NONMMUT050325.2
Gm13055,NONMMUG031168,NONMMUT117557.1
Gm13056,NONMMUG031169,NONMMUT050326.2
Gm13056,NONMMUG031169,NONMMUT115869.1
Gm13056,NONMMUG031169,NONMMUT148304.1
Gm13062,NONMMUG031217,NONMMUT050401.2
Gm13062,NONMMUG031217,NONMMUT115901.1
Gm13063,NONMMUG030849,NONMMUT049812.2
Gm13066,NONMMUG031395,NONMMUT050662.2
Gm13066,NONMMUG031395,NONMMUT117759.1
Gm13066,NONMMUG031395,NONMMUT117760.1
Gm13067,NONMMUG031419,NONMMUT050694.2
Gm13067,NONMMUG031419,NONMMUT116008.1
Gm13068,NONMMUG031404,NONMMUT050673.2
Gm13068,NONMMUG031404,NONMMUT050674.2
Gm13068,NONMMUG031404,NONMMUT115996.1
Gm13070,NONMMUG031411,NONMMUT050685.2
Gm13070,NONMMUG031411,NONMMUT116001.1
Gm13071,NONMMUG031392,NONMMUT050657.2
Gm13071,NONMMUG031392,NONMMUT115992.1
Gm13075,NONMMUG031173,NONMMUT050331.2
Gm13075,NONMMUG031173,NONMMUT050332.2
Gm13075,NONMMUG031173,NONMMUT115873.1
Gm13091,NONMMUG031438,NONMMUT050720.2
Gm13091,NONMMUG031438,NONMMUT050722.2
Gm13091,NONMMUG031438,NONMMUT117774.1
Gm13092,NONMMUG031429,NONMMUT050707.2
Gm13093,NONMMUG031422,NONMMUT050698.2
