lncRNA,protein
1700023H06Rik,SFPQ
1700023H06Rik,TAF15
1700023H06Rik,Tdp43
1700028N14Rik,AGO1
1700028N14Rik,AGO2
1700028N14Rik,AGO4
1700028N14Rik,Fus
1700028N14Rik,RFOX2
1700028N14Rik,SFPQ
1700028N14Rik,Tdp43
1700028N14Rik,TIA1
1700028N14Rik,TTP
1700030G06Rik,AGO1
1700030G06Rik,AGO2
1700030G06Rik,AGO4
1700030G06Rik,CBX7
1700030G06Rik,DAZL
1700030G06Rik,Elavl1
1700030G06Rik,KPYM
1700030G06Rik,Nova-2
1700030G06Rik,PABP1
1700030G06Rik,Pou5f1
1700030G06Rik,Ptbp2
1700030G06Rik,QKI
1700030G06Rik,RBM10
1700030G06Rik,RFOX2
1700030G06Rik,SFPQ
1700030G06Rik,TAF15
1700030G06Rik,TIA1
1700030G06Rik,TTP
1700030G06Rik,TYY1
1700030G06Rik,VIGLN
1700047A11Rik,AGO1
1700047A11Rik,AGO2
1700047A11Rik,AGO4
1700047A11Rik,Celf1
1700047A11Rik,Elavl1
1700047A11Rik,Fus
1700047A11Rik,SFPQ
1700047A11Rik,Tdp43
1700047A11Rik,TIA1
1700056N10Rik,AGO1
1700056N10Rik,AGO2
1700056N10Rik,AGO4
1700056N10Rik,Fus
1700056N10Rik,PABP1
1700056N10Rik,Pou5f1
1700056N10Rik,SFPQ
1700056N10Rik,Tdp43
1700056N10Rik,TYY1
1700056N10Rik,Upf1
1700084C06Rik,AGO1
1700084C06Rik,AGO2
1700084C06Rik,AGO4
1700084C06Rik,Celf1
1700084C06Rik,Elavl1
1700084C06Rik,FMRP
1700084C06Rik,Fus
1700084C06Rik,JARID2
1700084C06Rik,KPYM
1700084C06Rik,PABP1
1700084C06Rik,Pou5f1
1700084C06Rik,Ptbp2
1700084C06Rik,QKI
1700084C06Rik,RFOX2
1700084C06Rik,SFPQ
1700084C06Rik,Tdp43
1700084C06Rik,TIA1
1700084C06Rik,TTP
1700084C06Rik,TYY1
1700084C06Rik,Upf1
1700084C06Rik,VIGLN
1700091E21Rik,AGO1
1700091E21Rik,AGO2
1700091E21Rik,AGO4
1700091E21Rik,Elavl1
1700091E21Rik,FMR1
1700091E21Rik,FMRP
1700091E21Rik,Fus
1700091E21Rik,KPYM
1700091E21Rik,Nova1
1700091E21Rik,PABP1
1700091E21Rik,Pou5f1
1700091E21Rik,PSPC1
1700091E21Rik,Ptbp2
1700091E21Rik,RFOX2
1700091E21Rik,SFPQ
1700091E21Rik,TAF15
1700091E21Rik,Tdp43
1700091E21Rik,TYY1
1700091E21Rik,VIGLN
1700110K17Rik,AGO1
1700110K17Rik,AGO2
1700110K17Rik,AGO4
1700110K17Rik,Celf1
1700110K17Rik,FMRP
1700110K17Rik,Fus
1700110K17Rik,Pou5f1
1700110K17Rik,Ptbp2
1700110K17Rik,RFOX2
1700110K17Rik,SFPQ
1700110K17Rik,TAF15
1700110K17Rik,Tdp43
1700112D23Rik,AGO1
1700112D23Rik,AGO2
1700112D23Rik,AGO4
1700112D23Rik,DAZL
1700112D23Rik,FMRP
1700112D23Rik,Fus
1700112D23Rik,JARID2
1700112D23Rik,PABP1
1700112D23Rik,Pou5f1
1700112D23Rik,Ptbp2
1700112D23Rik,RFOX2
1700112D23Rik,SFPQ
1700112D23Rik,Tdp43
1700112D23Rik,TTP
1700112D23Rik,TYY1
1700112D23Rik,Upf1
1700112D23Rik,VIGLN
1700112M01Rik,AGO1
1700112M01Rik,AGO2
1700112M01Rik,AGO4
1700112M01Rik,Fus
1700112M01Rik,PABP1
1700112M01Rik,Ptbp2
1700112M01Rik,RFOX2
1700112M01Rik,SFPQ
1700112M01Rik,Tdp43
1700112M01Rik,TIA1
1700112M01Rik,TYY1
1700113A16Rik,AGO1
1700113A16Rik,AGO2
1700113A16Rik,AGO4
1700113A16Rik,PABP1
1700113A16Rik,RFOX2
1700113A16Rik,SFPQ
