lncRNA,protein
NONMMUG031093,Tdp43
NONMMUG031128,FMRP
NONMMUG031128,Fus
NONMMUG031128,Tdp43
NONMMUG031128,Upf1
NONMMUG031195,FMRP
NONMMUG031195,Fus
NONMMUG031195,Tdp43
NONMMUG031223,FMRP
NONMMUG031223,Fus
NONMMUG031223,Tdp43
NONMMUG031226,FMRP
NONMMUG031226,Tdp43
NONMMUG031227,FMRP
NONMMUG031227,Fus
NONMMUG031227,Tdp43
NONMMUG031227,Upf1
NONMMUG031229,FMRP
NONMMUG031229,Fus
NONMMUG031229,Tdp43
NONMMUG031229,Upf1
NONMMUG031236,FMRP
NONMMUG031236,Fus
NONMMUG031236,JARID2
NONMMUG031236,Tdp43
NONMMUG031236,Upf1
NONMMUG031273,FMRP
NONMMUG031273,Fus
NONMMUG031273,Tdp43
NONMMUG031341,FMRP
NONMMUG031341,Fus
NONMMUG031341,Tdp43
NONMMUG031348,FMRP
NONMMUG031378,FMRP
NONMMUG031378,Fus
NONMMUG031378,Mbnl1
NONMMUG031378,Tdp43
NONMMUG031385,FMRP
NONMMUG031385,Fus
NONMMUG031385,Tdp43
NONMMUG031400,FMRP
NONMMUG031400,Fus
NONMMUG031400,JARID2
NONMMUG031400,Tdp43
NONMMUG031435,FMRP
NONMMUG031435,Fus
NONMMUG031435,Tdp43
NONMMUG031455,FMRP
NONMMUG031455,Fus
NONMMUG031455,Tdp43
NONMMUG031493,FMRP
NONMMUG031493,Fus
NONMMUG031493,Tdp43
NONMMUG031524,FMRP
NONMMUG031524,Fus
NONMMUG031570,FMRP
NONMMUG031570,Fus
NONMMUG031577,FMRP
NONMMUG031577,Fus
NONMMUG031577,Tdp43
NONMMUG031578,FMRP
NONMMUG031578,Fus
NONMMUG031588,FMRP
NONMMUG031588,Fus
NONMMUG031588,JARID2
NONMMUG031588,Tdp43
NONMMUG031599,FMRP
NONMMUG031599,Fus
NONMMUG031599,Tdp43
NONMMUG031601,FMRP
NONMMUG031601,Fus
NONMMUG031601,Tdp43
NONMMUG031601,Upf1
NONMMUG031614,FMRP
NONMMUG031614,Fus
NONMMUG031614,PABPC1
NONMMUG031614,Tdp43
NONMMUG031614,Upf1
NONMMUG031674,FMRP
NONMMUG031674,Fus
NONMMUG031674,Tdp43
NONMMUG031674,Upf1
NONMMUG031677,FMRP
NONMMUG031677,Fus
NONMMUG031677,Tdp43
NONMMUG031678,FMRP
NONMMUG031683,FMRP
NONMMUG031683,Fus
NONMMUG031683,Tdp43
NONMMUG031691,FMRP
NONMMUG031691,Fus
NONMMUG031691,Upf1
NONMMUG031711,FMRP
NONMMUG031711,Fus
NONMMUG031711,Tdp43
NONMMUG031711,Upf1
NONMMUG031728,FMRP
NONMMUG031728,Fus
NONMMUG031728,JARID2
NONMMUG031728,Tdp43
NONMMUG031728,Upf1
NONMMUG031740,FMRP
NONMMUG031740,Fus
NONMMUG031740,PABPC1
NONMMUG031740,Tdp43
NONMMUG031740,Upf1
NONMMUG031746,FMRP
NONMMUG031746,Fus
NONMMUG031746,Nova1
NONMMUG031746,Tdp43
NONMMUG031751,FMRP
NONMMUG031751,Upf1
NONMMUG031756,FMRP
NONMMUG031756,Upf1
NONMMUG031768,FMRP
NONMMUG031768,Fus
NONMMUG031769,FMRP
NONMMUG031769,Fus
NONMMUG031769,Tdp43
NONMMUG031769,Upf1
NONMMUG031778,FMRP
NONMMUG031778,Fus
NONMMUG031785,FMRP
NONMMUG031785,Fus
NONMMUG031785,Nova1
NONMMUG031785,Tdp43
NONMMUG031786,FMRP
NONMMUG031786,Fus
NONMMUG031786,Tdp43
NONMMUG031791,FMRP
NONMMUG031791,Fus
NONMMUG031791,Nova1
NONMMUG031837,FMRP
NONMMUG031837,Fus
NONMMUG031837,JARID2
NONMMUG031837,Tdp43
NONMMUG031839,FMRP
NONMMUG031839,Fus
NONMMUG031839,Nova1
NONMMUG031839,Tdp43
NONMMUG031913,FMRP
NONMMUG031913,Fus
NONMMUG031913,Tdp43
NONMMUG031913,Upf1
NONMMUG031925,FMRP
NONMMUG031925,Fus
NONMMUG031925,PABPC1
NONMMUG031925,Tdp43
NONMMUG031931,FMRP
NONMMUG031931,Fus
NONMMUG031931,Tdp43
NONMMUG031953,FMRP
NONMMUG031953,Fus
NONMMUG031953,Nova1
NONMMUG031953,Tdp43
NONMMUG031973,FMRP
NONMMUG031973,Fus
NONMMUG031973,Tdp43
NONMMUG031975,FMRP
NONMMUG031975,Fus
NONMMUG031977,FMRP
NONMMUG031977,Fus
NONMMUG031977,PABPC1
NONMMUG031977,Tdp43
NONMMUG031984,FMRP
NONMMUG031984,Fus
NONMMUG031984,Tdp43
NONMMUG031985,FMRP
NONMMUG031985,Fus
NONMMUG031985,Tdp43
NONMMUG032009,FMRP
NONMMUG032009,Fus
NONMMUG032009,Tdp43
NONMMUG032049,FMRP
NONMMUG032049,Fus
NONMMUG032049,Tdp43
NONMMUG032049,Upf1
NONMMUG032085,FMRP
NONMMUG032085,Fus
NONMMUG032085,Tdp43
NONMMUG032108,FMRP
NONMMUG032108,Fus
NONMMUG032137,FMRP
NONMMUG032137,Fus
NONMMUG032137,Mbnl1
NONMMUG032137,Tdp43
NONMMUG032137,Upf1
NONMMUG032166,FMRP
NONMMUG032166,Fus
NONMMUG032166,Tdp43
NONMMUG032166,Upf1
NONMMUG032178,FMRP
NONMMUG032178,Fus
NONMMUG032178,PABPC1
NONMMUG032178,Tdp43
NONMMUG032178,Upf1
NONMMUG032181,FMRP
NONMMUG032181,Upf1
NONMMUG032182,FMRP
NONMMUG032182,Fus
NONMMUG032187,FMRP
NONMMUG032187,Fus
NONMMUG032187,Tdp43
NONMMUG032187,Upf1
NONMMUG032188,FMRP
NONMMUG032188,Fus
NONMMUG032188,Tdp43
NONMMUG032188,Upf1
NONMMUG032193,FMRP
NONMMUG032193,Fus
NONMMUG032193,Tdp43
NONMMUG032193,Upf1
NONMMUG032246,FMRP
NONMMUG032246,Fus
NONMMUG032246,Tdp43
NONMMUG032261,FMRP
NONMMUG032261,Fus
NONMMUG032261,Tdp43
NONMMUG032267,FMRP
NONMMUG032300,FMRP
NONMMUG032300,Fus
NONMMUG032300,Tdp43
NONMMUG032300,Upf1
NONMMUG032301,FMRP
NONMMUG032301,Fus
NONMMUG032301,Tdp43
NONMMUG032309,FMRP
NONMMUG032309,Fus
NONMMUG032309,Tdp43
NONMMUG032309,Upf1
NONMMUG032313,FMRP
NONMMUG032313,Fus
NONMMUG032313,Tdp43
NONMMUG032316,FMRP
NONMMUG032316,Fus
NONMMUG032316,Tdp43
NONMMUG032317,FMRP
NONMMUG032317,Fus
NONMMUG032317,Tdp43
NONMMUG032317,Upf1
NONMMUG032320,FMRP
NONMMUG032320,Fus
NONMMUG032320,Tdp43
NONMMUG032320,Upf1
NONMMUG032375,FMRP
NONMMUG032375,Fus
NONMMUG032375,Tdp43
NONMMUG032380,FMRP
NONMMUG032380,Fus
NONMMUG032380,Tdp43
NONMMUG032380,Upf1
NONMMUG032417,FMRP
NONMMUG032417,Fus
NONMMUG032417,Tdp43
NONMMUG032418,FMRP
NONMMUG032418,Fus
NONMMUG032418,Nova1
NONMMUG032418,Tdp43
NONMMUG032441,FMRP
NONMMUG032441,Fus
NONMMUG032441,Tdp43
NONMMUG032441,Upf1
NONMMUG032455,FMRP
NONMMUG032455,Fus
NONMMUG032455,Tdp43
NONMMUG032455,Upf1
NONMMUG032457,FMRP
NONMMUG032457,Fus
NONMMUG032457,Tdp43
NONMMUG032483,FMRP
NONMMUG032483,Fus
NONMMUG032483,Tardbp
NONMMUG032483,Tdp43
NONMMUG032513,FMRP
NONMMUG032513,Fus
NONMMUG032513,Tdp43
NONMMUG032531,FMRP
NONMMUG032535,FMRP
NONMMUG032535,Fus
NONMMUG032535,Tdp43
NONMMUG032551,FMRP
NONMMUG032551,Upf1
NONMMUG032567,FMRP
NONMMUG032567,Fus
NONMMUG032567,JARID2
NONMMUG032567,Tdp43
NONMMUG032567,Upf1
NONMMUG032585,FMRP
NONMMUG032585,Fus
NONMMUG032585,Tdp43
NONMMUG032629,FMRP
NONMMUG032629,Fus
NONMMUG032629,Tdp43
NONMMUG032629,Upf1
NONMMUG032662,FMRP
NONMMUG032667,FMRP
NONMMUG032667,Fus
NONMMUG032667,Tdp43
NONMMUG032688,FMRP
NONMMUG032688,Fus
NONMMUG032688,Tdp43
NONMMUG032694,FMRP
NONMMUG032694,Fus
NONMMUG032694,Tdp43
NONMMUG032699,FMRP
NONMMUG032699,Fus
NONMMUG032699,Nova1
NONMMUG032699,Tdp43
NONMMUG032700,FMRP
NONMMUG032700,Fus
NONMMUG032700,Tdp43
NONMMUG032701,FMRP
NONMMUG032701,Fus
NONMMUG032701,Nova1
NONMMUG032701,Tdp43
NONMMUG032703,FMRP
NONMMUG032703,Fus
NONMMUG032730,FMRP
NONMMUG032730,Upf1
NONMMUG032734,FMRP
NONMMUG032734,Fus
NONMMUG032734,Tdp43
NONMMUG032744,FMRP
NONMMUG032744,Fus
NONMMUG032748,FMRP
NONMMUG032748,Fus
NONMMUG032748,Tdp43
NONMMUG032783,FMRP
NONMMUG032799,FMRP
NONMMUG032819,FMRP
NONMMUG032819,Fus
NONMMUG032865,FMRP
NONMMUG032865,Fus
NONMMUG032865,Tdp43
NONMMUG032877,FMRP
NONMMUG032877,Fus
NONMMUG032877,Nova1
NONMMUG032877,Tdp43
NONMMUG032878,FMRP
NONMMUG032878,Fus
NONMMUG032894,FMRP
NONMMUG032894,Fus
NONMMUG032894,Tdp43
NONMMUG032916,FMRP
NONMMUG032916,Fus
NONMMUG032916,Tdp43
NONMMUG032924,FMRP
NONMMUG032924,Fus
NONMMUG032924,Tdp43
NONMMUG032941,FMRP
NONMMUG032941,Fus
NONMMUG032941,Tdp43
NONMMUG032941,Upf1
NONMMUG032967,FMRP
NONMMUG032967,Fus
NONMMUG032967,Nova1
NONMMUG032967,Tdp43
NONMMUG032979,FMRP
NONMMUG032985,FMRP
NONMMUG032985,Fus
NONMMUG032985,JARID2
NONMMUG032985,Nova1
NONMMUG032985,Tardbp
NONMMUG032985,Tdp43
NONMMUG032985,Upf1
NONMMUG032999,FMRP
NONMMUG033007,FMRP
NONMMUG033007,Fus
NONMMUG033007,Nova1
NONMMUG033007,Tdp43
NONMMUG033009,FMRP
NONMMUG033009,Fus
NONMMUG033009,Tardbp
NONMMUG033009,Tdp43
NONMMUG033010,FMRP
NONMMUG033010,Fus
NONMMUG033010,Tdp43
NONMMUG033015,FMRP
NONMMUG033015,Fus
NONMMUG033015,Tdp43
NONMMUG033015,Upf1
NONMMUG033023,FMRP
NONMMUG033024,FMRP
NONMMUG033024,Fus
NONMMUG033024,PABPC1
NONMMUG033024,Tdp43
NONMMUG033026,FMRP
NONMMUG033026,Fus
NONMMUG033026,Upf1
NONMMUG033028,FMRP
NONMMUG033028,Fus
NONMMUG033028,Tdp43
NONMMUG033029,FMRP
NONMMUG033029,Fus
NONMMUG033029,Tdp43
NONMMUG033068,FMRP
NONMMUG033068,Fus
NONMMUG033068,Tdp43
NONMMUG033133,FMRP
NONMMUG033133,Fus
NONMMUG033133,JARID2
NONMMUG033133,PABPC1
NONMMUG033133,Tdp43
NONMMUG033133,Upf1
NONMMUG033135,FMRP
NONMMUG033135,Fus
NONMMUG033135,Tdp43
NONMMUG033136,FMRP
NONMMUG033136,Fus
NONMMUG033136,Upf1
NONMMUG033152,FMRP
NONMMUG033152,Fus
NONMMUG033152,Tdp43
NONMMUG033160,FMRP
NONMMUG033160,Fus
NONMMUG033160,Tdp43
NONMMUG033160,Upf1
NONMMUG033165,FMRP
NONMMUG033165,Fus
NONMMUG033165,Tdp43
NONMMUG033165,Upf1
NONMMUG033187,FMRP
NONMMUG033187,Fus
NONMMUG033187,Tdp43
NONMMUG033187,Upf1
NONMMUG033189,FMRP
NONMMUG033189,Fus
NONMMUG033189,Tdp43
NONMMUG033189,Upf1
NONMMUG033192,FMRP
NONMMUG033192,Fus
NONMMUG033192,Tdp43
NONMMUG033192,Upf1
NONMMUG033197,FMRP
NONMMUG033197,Fus
NONMMUG033197,Nova1
NONMMUG033197,Tdp43
NONMMUG033198,FMRP
NONMMUG033198,Fus
NONMMUG033198,Nova1
NONMMUG033198,Tdp43
NONMMUG033267,FMRP
NONMMUG033267,Fus
NONMMUG033267,Mbnl1
NONMMUG033267,Tdp43
NONMMUG033267,Upf1
NONMMUG033299,FMRP
NONMMUG033299,Fus
NONMMUG033299,JARID2
NONMMUG033299,Tardbp
NONMMUG033299,Tdp43
NONMMUG033299,Upf1
NONMMUG033340,FMRP
NONMMUG033340,Fus
NONMMUG033340,Mbnl1
NONMMUG033340,Tdp43
NONMMUG033378,FMRP
NONMMUG033389,FMRP
NONMMUG033389,Fus
NONMMUG033389,Tdp43
NONMMUG033389,Upf1
NONMMUG033409,FMRP
NONMMUG033409,Fus
NONMMUG033409,Tdp43
NONMMUG033410,FMRP
NONMMUG033410,Fus
NONMMUG033410,Tdp43
NONMMUG033422,FMRP
NONMMUG033422,Fus
NONMMUG033422,JARID2
NONMMUG033422,Tdp43
NONMMUG033438,FMRP
NONMMUG033438,Fus
NONMMUG033438,Tdp43
NONMMUG033438,Upf1
NONMMUG033455,FMRP
NONMMUG033455,Fus
NONMMUG033455,Tdp43
NONMMUG033455,Upf1
NONMMUG033456,FMRP
NONMMUG033456,Fus
NONMMUG033457,FMRP
NONMMUG033457,Fus
NONMMUG033457,Tdp43
NONMMUG033497,FMRP
NONMMUG033497,Fus
NONMMUG033497,Tardbp
NONMMUG033497,Tdp43
NONMMUG033497,Upf1
NONMMUG033532,FMRP
NONMMUG033532,Fus
NONMMUG033532,Nova1
NONMMUG033532,Tdp43
NONMMUG033532,Upf1
NONMMUG033533,FMRP
NONMMUG033533,Fus
NONMMUG033533,Tdp43
NONMMUG033551,FMRP
NONMMUG033551,Fus
NONMMUG033551,Tdp43
NONMMUG033581,FMRP
NONMMUG033581,Fus
NONMMUG033581,Nova1
NONMMUG033581,Tdp43
NONMMUG033585,FMRP
NONMMUG033585,Fus
NONMMUG033585,Nova1
NONMMUG033585,Tdp43
NONMMUG033596,FMRP
NONMMUG033596,Fus
NONMMUG033596,Tdp43
NONMMUG033618,FMRP
NONMMUG033642,FMRP
NONMMUG033642,Fus
NONMMUG033642,Tdp43
NONMMUG033648,FMRP
NONMMUG033648,Fus
NONMMUG033648,PABPC1
NONMMUG033648,Tdp43
NONMMUG033651,FMRP
NONMMUG033651,Fus
NONMMUG033651,Tdp43
NONMMUG033657,FMRP
NONMMUG033657,Fus
NONMMUG033657,Tdp43
NONMMUG033659,FMRP
NONMMUG033659,Fus
NONMMUG033659,Tdp43
NONMMUG033659,Upf1
NONMMUG033664,FMRP
NONMMUG033664,Fus
NONMMUG033664,Tdp43
NONMMUG033665,FMRP
NONMMUG033665,Fus
NONMMUG033665,Tdp43
NONMMUG033665,Upf1
NONMMUG033673,FMRP
NONMMUG033673,Fus
NONMMUG033673,Nova1
NONMMUG033673,Tdp43
NONMMUG033673,Upf1
NONMMUG033715,FMRP
NONMMUG033715,Fus
NONMMUG033715,Tdp43
NONMMUG033739,FMRP
NONMMUG033739,Fus
NONMMUG033739,Tdp43
NONMMUG033739,Upf1
NONMMUG033749,FMRP
NONMMUG033749,Fus
NONMMUG033749,Tdp43
NONMMUG033794,FMRP
NONMMUG033794,Fus
NONMMUG033794,Tdp43
NONMMUG033810,FMRP
NONMMUG033810,Fus
NONMMUG033810,Tdp43
NONMMUG033810,Upf1
NONMMUG033873,FMRP
NONMMUG033873,Fus
NONMMUG033873,Tdp43
NONMMUG033901,FMRP
NONMMUG033901,Fus
NONMMUG033901,JARID2
NONMMUG033901,Tdp43
NONMMUG033901,Upf1
NONMMUG033916,FMRP
NONMMUG033916,Fus
NONMMUG033917,FMRP
NONMMUG033917,Fus
NONMMUG033917,Nova1
NONMMUG033917,Tdp43
NONMMUG033928,FMRP
NONMMUG033928,Fus
NONMMUG033928,Tdp43
NONMMUG033951,FMRP
NONMMUG033951,Fus
NONMMUG033951,Tdp43
NONMMUG033951,Upf1
NONMMUG033955,FMRP
NONMMUG033955,Fus
NONMMUG033955,Tdp43
NONMMUG033955,Upf1
NONMMUG034008,FMRP
NONMMUG034008,Fus
NONMMUG034008,JARID2
NONMMUG034008,Mbnl1
NONMMUG034008,Tdp43
NONMMUG034008,Upf1
NONMMUG034083,FMRP
NONMMUG034083,Tdp43
NONMMUG034083,Upf1
NONMMUG034117,FMRP
NONMMUG034117,Fus
NONMMUG034117,Tdp43
NONMMUG034119,FMRP
NONMMUG034119,Fus
NONMMUG034119,Tdp43
NONMMUG034119,Upf1
NONMMUG034126,FMRP
NONMMUG034126,Fus
NONMMUG034126,Tdp43
NONMMUG034175,FMRP
NONMMUG034175,Fus
NONMMUG034175,Tdp43
NONMMUG034175,Upf1
NONMMUG034210,FMRP
NONMMUG034210,Fus
NONMMUG034210,Tdp43
NONMMUG034225,FMRP
NONMMUG034225,Fus
NONMMUG034225,Tdp43
NONMMUG034225,Upf1
NONMMUG034253,FMRP
NONMMUG034253,Fus
NONMMUG034253,Upf1
NONMMUG034284,FMRP
NONMMUG034284,Fus
NONMMUG034292,FMRP
NONMMUG034292,Fus
NONMMUG034292,Tdp43
NONMMUG034309,FMRP
NONMMUG034309,Fus
NONMMUG034309,Tdp43
NONMMUG034322,FMRP
NONMMUG034322,Fus
NONMMUG034322,JARID2
NONMMUG034322,Tdp43
NONMMUG034322,Upf1
NONMMUG034328,FMRP
NONMMUG034328,Fus
NONMMUG034328,Tdp43
NONMMUG034339,FMRP
NONMMUG034339,Upf1
NONMMUG034347,FMRP
NONMMUG034347,Fus
NONMMUG034347,Tdp43
NONMMUG034347,Upf1
NONMMUG034363,FMRP
NONMMUG034363,Fus
NONMMUG034363,Tdp43
NONMMUG034363,Upf1
NONMMUG034370,FMRP
NONMMUG034370,Fus
NONMMUG034370,Tdp43
NONMMUG034370,Upf1
NONMMUG034375,FMRP
NONMMUG034375,Fus
NONMMUG034375,JARID2
NONMMUG034375,Tardbp
NONMMUG034375,Tdp43
NONMMUG034375,Upf1
NONMMUG034394,FMRP
NONMMUG034420,FMRP
NONMMUG034420,Fus
NONMMUG034420,PABPC1
NONMMUG034420,Tdp43
NONMMUG034424,FMRP
NONMMUG034424,Upf1
NONMMUG034437,FMRP
NONMMUG034437,Fus
NONMMUG034437,Tdp43
NONMMUG034440,FMRP
NONMMUG034440,Fus
NONMMUG034441,FMRP
NONMMUG034441,Fus
NONMMUG034485,FMRP
NONMMUG034485,Fus
NONMMUG034485,Tdp43
NONMMUG034512,FMRP
NONMMUG034512,Fus
NONMMUG034512,Tdp43
NONMMUG034512,Upf1
NONMMUG034543,FMRP
NONMMUG034543,Fus
NONMMUG034543,Tdp43
NONMMUG034560,FMRP
NONMMUG034560,Fus
NONMMUG034560,Tdp43
NONMMUG034563,FMRP
NONMMUG034563,Tdp43
NONMMUG034583,FMRP
NONMMUG034583,Fus
NONMMUG034583,Tdp43
NONMMUG034593,FMRP
NONMMUG034593,Fus
NONMMUG034593,Nova1
NONMMUG034593,Tardbp
NONMMUG034593,Tdp43
NONMMUG034593,Upf1
NONMMUG034605,FMRP
NONMMUG034607,FMRP
NONMMUG034607,Fus
NONMMUG034607,Tdp43
NONMMUG034609,FMRP
NONMMUG034609,Fus
NONMMUG034609,Tdp43
NONMMUG034615,FMRP
NONMMUG034615,Fus
NONMMUG034615,Nova1
NONMMUG034615,Tdp43
NONMMUG034619,FMRP
NONMMUG034619,Fus
NONMMUG034619,Tdp43
NONMMUG034657,FMRP
NONMMUG034657,Fus
NONMMUG034657,Tdp43
NONMMUG034687,FMRP
NONMMUG034687,Fus
NONMMUG034687,Nova1
NONMMUG034687,Upf1
NONMMUG034722,FMRP
NONMMUG034722,Fus
NONMMUG034722,Nova1
NONMMUG034722,Tdp43
NONMMUG034729,FMRP
NONMMUG034729,Fus
NONMMUG034729,Upf1
NONMMUG034757,FMRP
NONMMUG034759,FMRP
NONMMUG034759,Fus
NONMMUG034759,Tdp43
NONMMUG034774,FMRP
NONMMUG034774,Fus
NONMMUG034774,Tdp43
NONMMUG034775,FMRP
NONMMUG034775,Fus
NONMMUG034775,Tdp43
NONMMUG034784,FMRP
NONMMUG034784,Fus
NONMMUG034784,Nova1
NONMMUG034784,Tdp43
NONMMUG034784,Upf1
NONMMUG034785,FMRP
NONMMUG034785,Fus
NONMMUG034785,Tdp43
NONMMUG034797,FMRP
NONMMUG034797,Fus
NONMMUG034797,PABPC1
NONMMUG034797,Tdp43
NONMMUG034797,Upf1
NONMMUG034847,FMRP
NONMMUG034847,Fus
NONMMUG034847,Tdp43
NONMMUG034847,Upf1
NONMMUG034876,FMRP
NONMMUG034876,Fus
NONMMUG034876,Tdp43
NONMMUG034876,Upf1
NONMMUG034877,FMRP
NONMMUG034877,Fus
NONMMUG034877,Tdp43
NONMMUG034906,FMRP
NONMMUG034906,Fus
NONMMUG034906,Nova1
NONMMUG034906,Tdp43
NONMMUG034918,FMRP
NONMMUG034918,Fus
NONMMUG034918,Tdp43
NONMMUG034966,FMRP
NONMMUG034966,Fus
NONMMUG034966,Tdp43
NONMMUG034986,FMRP
NONMMUG034986,Fus
NONMMUG034986,Upf1
NONMMUG035017,FMRP
NONMMUG035017,Fus
NONMMUG035017,Tdp43
NONMMUG035018,FMRP
NONMMUG035018,Fus
NONMMUG035018,Nova1
NONMMUG035018,Tdp43
NONMMUG035022,FMRP
NONMMUG035022,Fus
NONMMUG035022,Tdp43
NONMMUG035023,FMRP
NONMMUG035023,Fus
NONMMUG035023,Nova1
NONMMUG035023,Tdp43
NONMMUG035025,FMRP
NONMMUG035025,Fus
NONMMUG035025,Tdp43
NONMMUG035034,FMRP
NONMMUG035045,FMRP
NONMMUG035050,FMRP
NONMMUG035050,Fus
NONMMUG035050,Tdp43
NONMMUG035082,FMRP
NONMMUG035082,Fus
NONMMUG035082,Nova1
NONMMUG035082,Tdp43
NONMMUG035083,FMRP
NONMMUG035083,Fus
NONMMUG035083,Nova1
NONMMUG035083,Tdp43
NONMMUG035088,FMRP
NONMMUG035088,Fus
NONMMUG035088,Tdp43
NONMMUG035106,FMRP
NONMMUG035134,FMRP
NONMMUG035134,Fus
NONMMUG035134,Tdp43
NONMMUG035160,FMRP
NONMMUG035160,Fus
NONMMUG035160,Tdp43
NONMMUG035160,Upf1
NONMMUG035182,FMRP
NONMMUG035247,FMRP
NONMMUG035247,Fus
NONMMUG035247,Tdp43
NONMMUG035286,FMRP
NONMMUG035286,Fus
NONMMUG035286,Tdp43
NONMMUG035293,FMRP
NONMMUG035293,Fus
NONMMUG035293,JARID2
NONMMUG035293,Mbnl1
NONMMUG035293,Tdp43
NONMMUG035293,Upf1
NONMMUG035299,FMRP
NONMMUG035299,Fus
NONMMUG035299,Tdp43
NONMMUG035376,FMRP
NONMMUG035376,Fus
NONMMUG035376,Tdp43
NONMMUG035394,FMRP
NONMMUG035394,Fus
NONMMUG035394,Tdp43
NONMMUG035408,FMRP
NONMMUG035408,Fus
NONMMUG035408,Tdp43
NONMMUG035409,FMRP
NONMMUG035409,Fus
NONMMUG035409,Tdp43
NONMMUG035409,Upf1
NONMMUG035419,FMRP
NONMMUG035419,Fus
NONMMUG035419,Tdp43
NONMMUG035420,FMRP
NONMMUG035420,Fus
NONMMUG035427,FMRP
NONMMUG035427,Fus
NONMMUG035427,Tdp43
NONMMUG035427,Upf1
NONMMUG035432,FMRP
NONMMUG035432,Fus
NONMMUG035432,Tdp43
NONMMUG035447,FMRP
NONMMUG035447,Fus
NONMMUG035449,FMRP
NONMMUG035449,Fus
NONMMUG035449,Tdp43
NONMMUG035449,Upf1
NONMMUG035484,FMRP
NONMMUG035501,FMRP
NONMMUG035501,Fus
NONMMUG035541,FMRP
NONMMUG035551,FMRP
NONMMUG035551,Fus
NONMMUG035553,FMRP
NONMMUG035553,Fus
NONMMUG035553,Nova1
NONMMUG035553,Tdp43
NONMMUG035569,FMRP
NONMMUG035569,Fus
NONMMUG035569,Tdp43
NONMMUG035575,FMRP
NONMMUG035575,Fus
NONMMUG035575,Tdp43
NONMMUG035575,Upf1
NONMMUG035589,FMRP
NONMMUG035606,FMRP
NONMMUG035606,Fus
NONMMUG035640,FMRP
NONMMUG035640,Fus
NONMMUG035640,Tdp43
NONMMUG035646,FMRP
NONMMUG035646,Fus
NONMMUG035646,Upf1
NONMMUG035666,FMRP
NONMMUG035666,Fus
NONMMUG035666,Tdp43
NONMMUG035666,Upf1
NONMMUG035667,FMRP
NONMMUG035667,Fus
NONMMUG035667,Mbnl1
NONMMUG035723,FMRP
NONMMUG035730,FMRP
NONMMUG035730,Fus
NONMMUG035730,Nova1
NONMMUG035730,Tardbp
NONMMUG035730,Tdp43
NONMMUG035755,FMRP
NONMMUG035755,Fus
NONMMUG035755,Tdp43
NONMMUG035756,FMRP
NONMMUG035756,Fus
NONMMUG035756,Tdp43
NONMMUG035769,FMRP
NONMMUG035769,Fus
NONMMUG035769,Tdp43
NONMMUG035780,FMRP
NONMMUG035780,Fus
NONMMUG035780,Tdp43
NONMMUG035780,Upf1
NONMMUG035803,FMRP
NONMMUG035803,Fus
NONMMUG035803,Tdp43
NONMMUG035803,Upf1
NONMMUG035829,FMRP
NONMMUG035829,Fus
NONMMUG035829,Tdp43
NONMMUG035840,FMRP
NONMMUG035840,Fus
NONMMUG035840,Tdp43
NONMMUG035857,FMRP
NONMMUG035857,Fus
NONMMUG035857,Tdp43
NONMMUG035857,Upf1
NONMMUG035864,FMRP
NONMMUG035864,Fus
NONMMUG035864,Tdp43
NONMMUG035865,FMRP
NONMMUG035865,Fus
NONMMUG035865,Tdp43
NONMMUG035866,FMRP
NONMMUG035866,Fus
NONMMUG035866,Tdp43
NONMMUG035890,FMRP
NONMMUG035891,FMRP
NONMMUG035896,FMRP
NONMMUG035896,Fus
NONMMUG035896,Tdp43
NONMMUG035896,Upf1
NONMMUG035917,FMRP
NONMMUG035917,Fus
NONMMUG035917,Upf1
NONMMUG035932,FMRP
NONMMUG035932,Fus
NONMMUG035932,PABPC1
NONMMUG035932,Tdp43
NONMMUG035933,FMRP
NONMMUG035933,Fus
NONMMUG035933,PABPC1
NONMMUG035933,Tdp43
NONMMUG035933,Upf1
NONMMUG035957,FMRP
NONMMUG035957,Fus
NONMMUG035957,Tdp43
NONMMUG035970,FMRP
NONMMUG035970,Fus
NONMMUG035971,FMRP
NONMMUG035971,Fus
NONMMUG035990,FMRP
NONMMUG035990,Fus
NONMMUG036027,FMRP
NONMMUG036027,Fus
NONMMUG036027,Tdp43
NONMMUG036029,FMRP
NONMMUG036029,Fus
NONMMUG036029,Tdp43
NONMMUG036030,FMRP
NONMMUG036030,Fus
NONMMUG036030,PABPC1
NONMMUG036030,Tdp43
NONMMUG036030,Upf1
NONMMUG036031,FMRP
NONMMUG036031,Fus
NONMMUG036031,Tdp43
NONMMUG036034,FMRP
NONMMUG036034,Fus
NONMMUG036034,Tardbp
NONMMUG036034,Tdp43
NONMMUG036034,Upf1
NONMMUG036036,FMRP
NONMMUG036036,Fus
NONMMUG036036,Tdp43
NONMMUG036036,Upf1
NONMMUG036038,FMRP
NONMMUG036038,Fus
NONMMUG036038,Tdp43
NONMMUG036038,Upf1
NONMMUG036091,FMRP
NONMMUG036091,Fus
NONMMUG036091,Tdp43
NONMMUG036125,FMRP
NONMMUG036125,Fus
NONMMUG036125,Tdp43
NONMMUG036125,Upf1
NONMMUG036152,FMRP
NONMMUG036152,Fus
NONMMUG036152,Tdp43
NONMMUG036152,Upf1
NONMMUG036160,FMRP
NONMMUG036167,FMRP
NONMMUG036193,FMRP
NONMMUG036193,Fus
NONMMUG036193,Tdp43
NONMMUG036193,Upf1
