label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
958,0.72,0.762,0.64,0.8,0.696,0.446,0.862,0.859
959,0.82,1.0,0.64,1.0,0.78,0.686,0.886,0.909
960,0.76,0.81,0.68,0.84,0.739,0.527,0.842,0.803
961,0.8,0.895,0.68,0.92,0.773,0.618,0.915,0.919
962,0.8,0.941,0.64,0.96,0.762,0.633,0.904,0.913
963,0.76,0.842,0.64,0.88,0.727,0.536,0.872,0.873
964,0.82,1.0,0.64,1.0,0.78,0.686,0.885,0.907
965,0.78,0.889,0.64,0.92,0.744,0.583,0.851,0.869
966,0.76,0.842,0.64,0.88,0.727,0.536,0.869,0.858
967,0.8,0.895,0.68,0.92,0.773,0.618,0.893,0.913
968,0.8,0.941,0.64,0.96,0.762,0.633,0.872,0.904
969,0.76,0.882,0.6,0.92,0.714,0.549,0.91,0.921
970,0.8,0.895,0.68,0.92,0.773,0.618,0.901,0.892
971,0.8,0.941,0.64,0.96,0.762,0.633,0.928,0.927
972,0.74,0.833,0.6,0.88,0.698,0.5,0.894,0.906
973,0.84,1.0,0.68,1.0,0.81,0.718,0.95,0.956
974,0.82,0.944,0.68,0.96,0.791,0.667,0.907,0.918
975,0.82,0.944,0.68,0.96,0.791,0.667,0.928,0.932
976,0.78,0.889,0.64,0.92,0.744,0.583,0.848,0.883
977,0.8,0.895,0.68,0.92,0.773,0.618,0.914,0.913
978,0.8,0.941,0.64,0.96,0.762,0.633,0.92,0.92
979,0.82,1.0,0.64,1.0,0.78,0.686,0.907,0.931
980,0.78,0.889,0.64,0.92,0.744,0.583,0.923,0.929
981,0.76,0.842,0.64,0.88,0.727,0.536,0.856,0.868
982,0.72,0.762,0.64,0.8,0.696,0.446,0.822,0.829
983,0.82,0.944,0.68,0.96,0.791,0.667,0.938,0.942
984,0.78,0.889,0.64,0.92,0.744,0.583,0.874,0.896
985,0.78,0.889,0.64,0.92,0.744,0.583,0.899,0.906
986,0.8,0.941,0.64,0.96,0.762,0.633,0.89,0.905
987,0.78,0.938,0.6,0.96,0.732,0.6,0.885,0.901
988,0.82,1.0,0.64,1.0,0.78,0.686,0.922,0.937
989,0.82,1.0,0.64,1.0,0.78,0.686,0.88,0.912
990,0.82,0.944,0.68,0.96,0.791,0.667,0.931,0.945
991,0.82,1.0,0.64,1.0,0.78,0.686,0.938,0.944
992,0.84,1.0,0.68,1.0,0.81,0.718,0.955,0.968
993,0.84,1.0,0.68,1.0,0.81,0.718,0.928,0.938
994,0.84,1.0,0.68,1.0,0.81,0.718,0.962,0.968
995,0.8,0.941,0.64,0.96,0.762,0.633,0.858,0.89
996,0.84,1.0,0.68,1.0,0.81,0.718,0.949,0.96
997,0.76,0.842,0.64,0.88,0.727,0.536,0.898,0.874
998,0.82,1.0,0.64,1.0,0.78,0.686,0.949,0.96
999,0.8,0.895,0.68,0.92,0.773,0.618,0.893,0.908
