0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
LINC00472,0.467959,0.551288,1.257988,-0.818168,-0.086194,-0.669800,-0.971613,-0.263724,-0.198771,-0.250848,-0.449214,-0.176544,0.164747,0.718451,0.145051,-0.799532,-0.182780,-0.062920,0.296438,0.606981,-0.433233,-0.250783,0.315996,0.135930,0.244414,-0.041891,0.024659,0.000966,0.532092,-0.212550,-0.200558,0.150520,-0.511735,0.121228,0.387589,-0.157896,0.286229,0.345133,0.091910,-0.520092,-0.565497,-0.080285,0.722969,-0.671309,0.452238,-0.814616,-0.315284,0.090160,-0.208441,0.264292,0.153142,0.833067,-0.261315,-0.600493,-0.141511,-0.070411,0.001481,-0.375565,0.552537,0.104733,0.359340,0.027316,-0.286257,0.013153,1
LINC00152,0.360387,0.382648,0.981838,-0.100008,0.230906,-0.425872,-0.140480,-0.219657,-0.261566,-0.060495,-0.316381,-0.044704,-0.283404,0.616374,-0.122591,-0.119661,-0.326253,-0.476454,0.246341,0.508302,-0.066887,-0.250790,0.295432,0.272796,-0.101732,0.386707,-0.227738,-0.189780,-0.060153,-0.106103,0.276623,-0.059530,-0.279717,0.351983,0.221220,-0.056947,0.493170,0.431183,-0.481065,-0.343680,-0.758467,0.298253,0.605169,-0.264152,0.534060,-0.762848,-0.689717,-0.113665,-0.253501,-0.651172,0.566100,0.600227,0.141561,-0.345206,-0.220477,0.276043,-0.220099,-0.322564,0.393348,-0.059297,-0.030556,-0.326581,-0.183075,-0.281636,1
NONHSAG056025,0.378837,0.412047,0.620200,-0.171466,0.380881,-0.283933,-0.217405,-0.008345,-0.316559,0.008125,-0.258056,-0.266431,-0.232929,0.329740,-0.046232,0.254592,-0.411206,-0.422712,-0.019560,0.587742,0.093115,-0.091443,0.198434,0.428820,0.076666,0.213156,-0.192656,0.021716,-0.132785,-0.082323,0.091465,0.188142,-0.221527,0.114753,0.179830,-0.093183,0.245562,0.299619,-0.339450,-0.358051,-0.681029,0.099355,0.420012,-0.030781,0.031313,-0.623383,-0.542033,-0.156413,-0.182382,-0.495685,0.264761,0.552019,0.080326,-0.100922,-0.339723,0.123457,-0.199279,-0.230526,0.231026,0.025810,0.053958,-0.682292,-0.136112,0.040481,1
CRNDE,0.475596,0.766838,0.569988,-0.301926,0.173499,-0.482299,-0.593784,-0.279416,-0.275136,-0.089659,-0.121749,-0.116732,0.129700,0.190651,-0.242599,-0.142938,-0.251531,-0.087171,-0.198938,0.366903,-0.111606,0.121383,0.355923,0.183813,0.234676,-0.095010,0.060177,0.184519,0.202701,-0.035284,-0.013065,0.352996,-0.300045,0.296330,0.308542,0.150123,0.414837,0.404781,0.176888,-0.191524,-0.547109,0.239363,-0.068038,-0.147687,0.087805,-0.516033,-0.360166,-0.185921,-0.276616,0.147671,-0.102776,0.454728,-0.546975,-0.248872,-0.271337,-0.135104,-0.123294,-0.199196,0.014172,-0.046856,0.324106,0.012261,0.126544,0.100466,1
TP73-AS1,0.445146,0.919965,0.905685,-0.487782,0.233162,0.146970,-0.271295,-0.001000,-0.285689,0.005801,-0.370744,-0.199978,0.215797,0.168096,0.032613,0.173749,-0.004206,-0.360731,-0.085996,0.394971,-0.071770,0.555717,0.204265,0.133606,0.033190,-0.539557,0.092279,0.005935,0.284622,0.033588,-0.153886,0.191950,-0.435571,0.211578,0.279023,0.242739,0.174153,0.350492,-0.245854,-0.374535,-0.487604,0.472229,-0.055645,-0.101456,0.152245,-0.537915,-0.261031,-0.268109,-0.032928,-0.173996,-0.012238,0.269014,0.068235,-0.262886,-0.414350,-0.630256,0.189220,-0.091513,-0.193557,-0.065836,0.360052,-0.305575,0.097241,0.173003,1
SBF2-AS1,0.421838,0.392148,0.812563,-0.112615,0.350628,-0.310514,-0.073820,-0.126874,-0.385198,-0.242162,-0.034755,0.216440,0.117931,0.415818,-0.161134,0.192036,-0.209971,-0.181219,0.027505,0.321968,0.141878,-0.002547,0.393504,0.254893,-0.047809,0.153098,0.109099,0.085579,-0.005722,-0.028226,0.002411,0.015905,-0.024253,0.366673,0.123956,0.018356,-0.027056,0.308559,-0.049352,-0.072388,-0.537788,0.143365,0.289582,-0.177752,0.107410,-0.679698,-0.484316,-0.298320,0.048686,-0.389221,0.276074,0.437372,0.044509,-0.470616,0.015292,0.062543,0.112826,-0.238063,0.133161,-0.270308,-0.019832,-0.302686,-0.004730,-0.005117,1
NPSR1-AS1,0.391646,0.531521,0.503748,-0.300198,0.279270,-0.306739,-0.164479,-0.117486,-0.255516,-0.208613,0.047033,-0.057068,0.196707,0.333639,0.043151,0.092423,-0.146231,-0.033138,-0.073933,0.142739,0.217106,0.030913,0.155102,0.282499,0.063914,0.033301,0.123122,0.081082,0.121202,-0.128781,0.078968,0.142458,0.018936,0.251217,0.222499,-0.011671,-0.157525,0.262172,0.217208,-0.129229,-0.523629,0.302329,0.255974,-0.081693,-0.097406,-0.474794,-0.506389,-0.339143,0.102036,-0.182608,0.093118,0.381352,-0.082455,-0.177708,-0.230877,-0.217722,-0.106143,-0.105536,0.306598,-0.078909,0.406543,-0.259176,0.099852,0.134983,1
RP11-159F24.1,0.620476,0.594270,0.601814,0.010083,0.399646,-0.363742,-0.295108,-0.075379,-0.520000,-0.208522,-0.072621,-0.027632,0.389336,-0.020820,0.313572,0.171489,0.101825,-0.378461,-0.145222,0.204052,-0.105898,0.183935,0.421910,0.114583,-0.038430,0.051009,0.164273,0.106241,0.151129,-0.488034,0.113456,0.054588,-0.348435,0.346649,0.105563,0.423500,-0.076756,-0.037220,0.251335,-0.032061,-0.304640,0.181039,0.042996,0.125971,-0.021958,-0.599920,-0.322828,-0.448189,-0.168932,-0.311862,-0.160687,0.377308,-0.018480,-0.230641,-0.219903,-0.182712,-0.006814,-0.152548,0.336272,0.236207,0.257745,-0.348578,0.368767,-0.154217,1
CDKN2B-AS1,0.733018,0.504598,0.700787,-0.009384,0.332798,-0.288944,-0.175992,-0.161836,-0.243816,-0.192819,-0.229823,-0.119102,0.193577,0.421788,-0.084212,0.227948,-0.099842,-0.364003,0.161327,0.070612,0.110009,-0.009688,0.364440,0.346317,0.001838,0.009528,0.019582,0.105963,-0.003947,-0.121582,0.055770,0.069622,-0.134764,0.055791,0.065175,0.096123,0.224404,0.192038,0.135413,-0.110573,-0.672660,0.245654,0.465615,-0.265506,-0.066085,-0.310208,-0.451731,-0.241364,-0.102053,-0.095896,0.044409,0.798063,0.112662,-0.343660,0.097570,-0.055499,-0.099037,-0.460823,0.041045,-0.092003,0.019457,-0.407746,0.034970,0.228787,1
MKLN1-AS1,0.530558,0.368930,0.669397,-0.086035,0.287385,-0.248737,-0.309980,-0.065764,-0.155512,-0.079563,-0.244706,-0.130062,-0.241523,0.393314,-0.087949,0.302885,-0.482469,-0.434248,-0.076933,0.624291,0.007449,-0.054770,0.239626,0.370414,0.089400,0.354177,-0.045761,0.086837,-0.132369,-0.018464,-0.055840,0.099776,-0.246701,0.035323,0.139889,-0.051741,0.154933,0.345152,-0.237671,-0.418229,-0.683101,0.124417,0.487685,-0.099977,0.128440,-0.710203,-0.571321,-0.185810,-0.150769,-0.635677,0.375561,0.642387,0.152141,-0.246701,-0.345792,0.227588,-0.197834,-0.375438,0.180976,-0.184238,0.008946,-0.716194,-0.292520,0.140134,1
MIR22HG,0.557051,0.902357,0.649627,-0.233060,0.136898,-0.374320,-0.640896,-0.023468,-0.322418,-0.237680,-0.082491,-0.177682,0.194712,0.258062,-0.363404,-0.186015,-0.143298,-0.245577,-0.172192,0.393260,-0.068238,0.114345,0.133152,0.295314,0.200113,-0.096921,0.309731,0.175522,0.052749,-0.005279,0.117263,0.349368,-0.303254,0.317125,0.171404,0.199230,0.490219,0.462003,0.174227,-0.239741,-0.490772,0.313520,0.046923,-0.246012,-0.009982,-0.434999,-0.402937,-0.326187,-0.149477,0.456083,0.002413,0.599813,-0.362604,-0.233271,-0.067229,-0.037788,-0.166438,-0.271769,0.002448,0.043649,0.234025,0.104166,0.249404,-0.064264,1
HOXA-AS2,0.509056,0.571313,0.529201,-0.099085,0.289334,-0.287870,-0.193192,-0.003756,-0.414378,-0.262651,0.012344,-0.250262,0.179807,0.302604,-0.001908,0.170573,-0.196065,-0.108773,-0.050344,0.069839,0.095522,0.191913,0.187065,0.265836,0.100834,0.050698,0.178111,0.077069,0.064007,-0.366904,-0.010638,0.175412,-0.031145,0.139935,0.423600,-0.101956,-0.067589,0.299842,0.208108,-0.203584,-0.538937,0.203215,0.235781,-0.116070,-0.037013,-0.432595,-0.282372,-0.282221,0.159859,-0.080876,0.138272,0.302431,0.081117,0.011645,-0.144196,-0.266645,-0.051742,-0.298435,0.312856,-0.123297,0.233209,-0.348190,0.082321,0.070682,1
EIF3J-AS1,0.332195,0.536884,0.446879,-0.190131,0.232208,-0.303588,-0.204898,-0.212341,-0.237174,-0.163757,0.065665,-0.116383,0.155046,0.309046,-0.091533,0.145586,-0.172750,-0.064513,-0.068697,0.162560,0.134907,0.123323,0.201772,0.115721,-0.028310,0.108786,0.058656,0.015847,0.163935,-0.159389,-0.016119,0.156215,-0.146301,0.203456,0.324861,-0.026384,0.016195,0.348786,0.227896,-0.060138,-0.636180,0.247583,0.136217,-0.055254,-0.010154,-0.454589,-0.332589,-0.371986,-0.058842,-0.141052,0.043652,0.374095,-0.057785,-0.077280,-0.216574,-0.118367,0.018395,-0.037885,0.413254,0.026980,0.399966,-0.231354,-0.017638,0.029077,1
NONHSAG037420,0.337489,0.533472,0.551004,-0.071174,0.403189,-0.232922,-0.316699,-0.057416,-0.275160,-0.008817,-0.285631,-0.363243,-0.175462,0.407696,-0.166740,0.381782,-0.412047,-0.430929,0.019577,0.496734,-0.009334,-0.086658,0.212005,0.376648,0.140764,0.249135,-0.123602,0.038658,-0.052173,-0.042202,0.084805,0.016902,-0.233986,0.045845,0.040536,-0.174592,0.251465,0.411638,-0.227971,-0.425189,-0.725025,-0.003846,0.466265,0.006582,0.069936,-0.660748,-0.535896,-0.094145,-0.211412,-0.522150,0.286757,0.569280,0.058260,-0.145608,-0.315075,0.204559,-0.150041,-0.150382,0.340253,-0.096970,0.050396,-0.586726,-0.076919,-0.020714,1
PXN-AS1,0.317536,0.531514,0.399047,-0.283458,0.034367,-0.287743,-0.089996,-0.184339,-0.262968,-0.167637,0.115534,-0.099048,0.136666,0.239783,0.069225,0.085822,-0.259706,-0.048989,0.124466,0.247821,0.372676,0.160248,0.263376,0.126306,-0.102297,0.245284,0.177020,-0.094458,0.079842,-0.200643,0.045860,0.240757,-0.097201,0.184259,0.336242,-0.132919,0.094241,0.441706,0.144451,0.005005,-0.556416,0.221199,0.266946,-0.033858,-0.064270,-0.383182,-0.268433,-0.245400,0.056951,-0.203279,0.077249,0.252086,-0.112538,-0.265733,-0.359798,-0.180837,-0.035769,-0.086479,0.410100,0.147765,0.366224,-0.087980,0.232692,0.053477,1
LINC00478,0.471984,0.712430,0.649584,-0.240789,0.248030,-0.383812,-0.114355,-0.092734,-0.246247,-0.266734,0.040060,-0.201921,0.092336,0.323100,0.149882,0.161984,-0.164383,-0.130893,-0.135414,0.082991,0.063747,0.042497,0.289863,0.294546,0.100503,-0.149164,0.084770,0.028483,0.201425,-0.254825,0.039748,0.088955,-0.002203,0.216477,0.204627,-0.039864,-0.223710,0.154655,0.338714,-0.109124,-0.442989,0.230440,0.488739,-0.045812,-0.169905,-0.667858,-0.293764,-0.366072,0.009073,-0.120420,0.121417,0.407450,-0.050213,-0.166702,-0.001168,-0.028323,-0.036721,-0.122090,0.178249,-0.076990,0.276478,-0.296849,-0.005924,0.259397,1
HOTAIR,0.743601,0.424139,1.120649,0.357968,0.784427,-0.165643,-0.256863,-0.312524,-0.435170,-0.185707,-0.209171,0.113330,-0.120830,0.422201,-0.533670,0.392300,-0.228250,-0.763572,0.461219,0.764445,-0.168636,-0.295586,0.212082,-0.021038,-0.040227,0.464610,0.030817,-0.170753,-0.201607,-0.048897,0.153263,0.018279,-0.724837,0.543488,0.256162,0.460201,0.598142,0.131808,-0.074886,-0.536874,-0.677069,0.346606,0.351157,-0.210229,0.473279,-0.662864,-0.749853,-0.358401,-0.477960,-0.511292,0.188881,0.880576,-0.200455,-0.806766,-0.298038,0.562507,-0.330454,-0.586048,0.094742,-0.021064,-0.045327,-0.325122,0.125205,-0.222812,1
