label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label713,0.503,0.503,0.506,0.5,0.505,0.006,0.499,0.564
label714,0.474,0.475,0.5,0.448,0.487,-0.052,0.501,0.556
label715,0.549,0.549,0.545,0.552,0.547,0.097,0.548,0.615
label716,0.461,0.459,0.442,0.481,0.45,-0.078,0.453,0.526
label717,0.523,0.522,0.545,0.5,0.533,0.046,0.548,0.617
label718,0.5,0.5,0.494,0.506,0.497,0,0.461,0.475
label719,0.481,0.481,0.487,0.474,0.484,-0.039,0.471,0.508
label720,0.487,0.487,0.481,0.494,0.484,-0.026,0.498,0.537
label721,0.484,0.484,0.487,0.481,0.485,-0.032,0.481,0.512
label722,0.464,0.469,0.532,0.396,0.498,-0.072,0.446,0.491
label723,0.448,0.448,0.448,0.448,0.448,-0.104,0.425,0.513
label724,0.516,0.516,0.519,0.513,0.518,0.032,0.536,0.567
label725,0.461,0.462,0.468,0.455,0.465,-0.078,0.504,0.573
label726,0.513,0.511,0.578,0.448,0.543,0.026,0.518,0.595
label727,0.445,0.441,0.416,0.474,0.428,-0.111,0.405,0.475
label728,0.526,0.527,0.506,0.545,0.517,0.052,0.509,0.547
label729,0.503,0.503,0.5,0.506,0.502,0.006,0.517,0.583
label730,0.532,0.534,0.513,0.552,0.523,0.065,0.559,0.604
label731,0.529,0.53,0.513,0.545,0.521,0.058,0.514,0.581
label732,0.532,0.532,0.539,0.526,0.535,0.065,0.525,0.587
label733,0.532,0.533,0.526,0.539,0.529,0.065,0.548,0.619
label734,0.539,0.542,0.506,0.571,0.523,0.078,0.541,0.593
label735,0.497,0.497,0.532,0.461,0.514,-0.007,0.519,0.587
label736,0.51,0.51,0.513,0.506,0.511,0.019,0.512,0.565
label737,0.516,0.517,0.506,0.526,0.511,0.032,0.488,0.502
label738,0.461,0.46,0.448,0.474,0.454,-0.078,0.462,0.525
label739,0.468,0.467,0.455,0.481,0.461,-0.065,0.457,0.521
label740,0.455,0.45,0.409,0.5,0.429,-0.091,0.462,0.472
label741,0.5,0.5,0.526,0.474,0.513,0,0.486,0.544
label742,0.519,0.52,0.506,0.532,0.513,0.039,0.508,0.57
label743,0.562,0.57,0.5,0.623,0.533,0.124,0.573,0.581
label744,0.477,0.478,0.494,0.461,0.486,-0.045,0.479,0.563
label745,0.477,0.478,0.487,0.468,0.482,-0.045,0.456,0.485
label746,0.442,0.447,0.494,0.39,0.469,-0.118,0.43,0.455
label747,0.523,0.523,0.506,0.539,0.515,0.045,0.506,0.506
label748,0.532,0.531,0.552,0.513,0.541,0.065,0.528,0.593
label749,0.532,0.534,0.513,0.552,0.523,0.065,0.534,0.595
label750,0.494,0.493,0.429,0.558,0.458,-0.013,0.484,0.465
label751,0.532,0.532,0.545,0.519,0.538,0.065,0.552,0.577
label752,0.484,0.485,0.526,0.442,0.505,-0.033,0.494,0.568
label753,0.516,0.516,0.513,0.519,0.515,0.032,0.513,0.515
label754,0.497,0.497,0.487,0.506,0.492,-0.006,0.514,0.549
label755,0.416,0.417,0.422,0.409,0.419,-0.169,0.398,0.474
label756,0.523,0.523,0.513,0.532,0.518,0.045,0.519,0.577
label757,0.562,0.562,0.558,0.565,0.56,0.123,0.559,0.631
label758,0.516,0.516,0.519,0.513,0.518,0.032,0.525,0.599
label759,0.503,0.503,0.494,0.513,0.498,0.006,0.515,0.562
label760,0.539,0.538,0.545,0.532,0.542,0.078,0.536,0.571
label761,0.419,0.416,0.403,0.435,0.409,-0.162,0.398,0.494
label762,0.471,0.47,0.461,0.481,0.466,-0.058,0.488,0.525
label763,0.506,0.506,0.526,0.487,0.516,0.013,0.495,0.557
label764,0.481,0.479,0.455,0.506,0.467,-0.039,0.513,0.497
label765,0.506,0.507,0.487,0.526,0.497,0.013,0.533,0.581
label766,0.503,0.503,0.519,0.487,0.511,0.006,0.524,0.554
label767,0.497,0.497,0.532,0.461,0.514,-0.007,0.513,0.579
label768,0.455,0.452,0.429,0.481,0.44,-0.091,0.437,0.52
label769,0.445,0.44,0.403,0.487,0.42,-0.111,0.398,0.443
label770,0.487,0.488,0.539,0.435,0.512,-0.026,0.479,0.557
label771,0.49,0.491,0.519,0.461,0.505,-0.02,0.483,0.545
label772,0.461,0.458,0.429,0.494,0.443,-0.078,0.467,0.55
label773,0.529,0.531,0.494,0.565,0.512,0.059,0.512,0.563
label774,0.539,0.538,0.558,0.519,0.548,0.078,0.53,0.567
label775,0.516,0.516,0.526,0.506,0.521,0.032,0.519,0.583
label776,0.513,0.513,0.519,0.506,0.516,0.026,0.514,0.575
label777,0.5,0.5,0.513,0.487,0.506,0,0.504,0.58
label778,0.468,0.468,0.468,0.468,0.468,-0.065,0.439,0.524
label779,0.51,0.51,0.494,0.526,0.502,0.019,0.494,0.541
label780,0.451,0.451,0.448,0.455,0.45,-0.097,0.435,0.45
label781,0.494,0.493,0.487,0.5,0.49,-0.013,0.488,0.525
label782,0.494,0.493,0.455,0.532,0.473,-0.013,0.477,0.552
label783,0.494,0.493,0.435,0.552,0.462,-0.013,0.509,0.568
label784,0.523,0.523,0.506,0.539,0.515,0.045,0.546,0.613
label785,0.506,0.506,0.513,0.5,0.51,0.013,0.496,0.555
label786,0.552,0.553,0.539,0.565,0.546,0.104,0.545,0.599
label787,0.474,0.474,0.468,0.481,0.471,-0.052,0.471,0.522
label788,0.503,0.503,0.494,0.513,0.498,0.006,0.499,0.544
label789,0.532,0.531,0.558,0.506,0.544,0.065,0.543,0.588
label790,0.487,0.487,0.494,0.481,0.49,-0.026,0.493,0.557
label791,0.581,0.586,0.552,0.61,0.569,0.163,0.589,0.646
label792,0.536,0.535,0.545,0.526,0.54,0.071,0.524,0.534
label793,0.526,0.529,0.481,0.571,0.503,0.052,0.516,0.591
label794,0.5,0.5,0.5,0.5,0.5,0,0.501,0.502
label795,0.484,0.484,0.494,0.474,0.489,-0.032,0.478,0.526
label796,0.442,0.442,0.442,0.442,0.442,-0.117,0.427,0.471
label797,0.487,0.486,0.461,0.513,0.473,-0.026,0.472,0.544
label798,0.529,0.529,0.532,0.526,0.531,0.058,0.517,0.599
label799,0.539,0.536,0.578,0.5,0.556,0.078,0.56,0.639
label800,0.523,0.524,0.494,0.552,0.508,0.046,0.513,0.563
label801,0.435,0.431,0.403,0.468,0.416,-0.13,0.429,0.478
label802,0.448,0.451,0.481,0.416,0.465,-0.104,0.444,0.469
label803,0.468,0.468,0.481,0.455,0.474,-0.065,0.46,0.518
label804,0.477,0.478,0.487,0.468,0.482,-0.045,0.462,0.528
label805,0.51,0.509,0.532,0.487,0.521,0.02,0.513,0.591
label806,0.532,0.534,0.506,0.558,0.52,0.065,0.558,0.606
label807,0.458,0.46,0.481,0.435,0.47,-0.085,0.443,0.52
label808,0.461,0.457,0.409,0.513,0.432,-0.078,0.466,0.514
label809,0.536,0.537,0.519,0.552,0.528,0.071,0.53,0.584
label810,0.526,0.527,0.513,0.539,0.52,0.052,0.516,0.584
label811,0.425,0.42,0.39,0.461,0.404,-0.15,0.47,0.559
label812,0.487,0.488,0.526,0.448,0.506,-0.026,0.479,0.547
label813,0.513,0.512,0.552,0.474,0.531,0.026,0.513,0.562
label814,0.519,0.52,0.513,0.526,0.516,0.039,0.515,0.582
label815,0.445,0.444,0.435,0.455,0.439,-0.11,0.45,0.504
label816,0.513,0.513,0.513,0.513,0.513,0.026,0.519,0.592
label817,0.565,0.566,0.558,0.571,0.562,0.13,0.583,0.645
label818,0.464,0.464,0.455,0.474,0.459,-0.071,0.476,0.543
label819,0.464,0.46,0.409,0.519,0.433,-0.072,0.46,0.547
label820,0.526,0.526,0.519,0.532,0.523,0.052,0.55,0.608
label821,0.497,0.497,0.519,0.474,0.508,-0.007,0.467,0.488
label822,0.451,0.454,0.481,0.422,0.467,-0.098,0.416,0.502
label823,0.481,0.481,0.494,0.468,0.487,-0.039,0.475,0.553
label824,0.526,0.527,0.513,0.539,0.52,0.052,0.516,0.578
label825,0.526,0.525,0.539,0.513,0.532,0.052,0.522,0.57
label826,0.484,0.484,0.487,0.481,0.485,-0.032,0.456,0.524
label827,0.471,0.471,0.474,0.468,0.472,-0.058,0.438,0.526
label828,0.519,0.52,0.513,0.526,0.516,0.039,0.502,0.519
label829,0.468,0.467,0.455,0.481,0.461,-0.065,0.46,0.554
label830,0.422,0.421,0.416,0.429,0.418,-0.156,0.403,0.434
label831,0.549,0.552,0.519,0.578,0.535,0.098,0.561,0.627
label832,0.516,0.516,0.513,0.519,0.515,0.032,0.493,0.536
