label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label888,0.519,0.519,0.519,0.519,0.519,0.039,0.494,0.487
label889,0.545,0.549,0.513,0.578,0.53,0.091,0.551,0.535
label890,0.529,0.524,0.643,0.416,0.577,0.06,0.51,0.483
label891,0.513,0.512,0.565,0.461,0.537,0.026,0.511,0.52
label892,0.484,0.486,0.571,0.396,0.525,-0.033,0.436,0.441
label893,0.51,0.51,0.5,0.519,0.505,0.019,0.495,0.496
label894,0.516,0.515,0.545,0.487,0.53,0.033,0.498,0.476
label895,0.429,0.43,0.442,0.416,0.436,-0.143,0.424,0.446
label896,0.471,0.471,0.468,0.474,0.469,-0.058,0.48,0.488
label897,0.542,0.544,0.519,0.565,0.532,0.085,0.532,0.516
label898,0.477,0.474,0.409,0.545,0.439,-0.046,0.467,0.461
label899,0.484,0.485,0.526,0.442,0.505,-0.033,0.491,0.496
label900,0.558,0.567,0.494,0.623,0.528,0.118,0.506,0.492
label901,0.448,0.444,0.416,0.481,0.43,-0.104,0.457,0.491
label902,0.513,0.514,0.461,0.565,0.486,0.026,0.51,0.488
label903,0.49,0.49,0.461,0.519,0.475,-0.02,0.482,0.47
label904,0.445,0.447,0.461,0.429,0.454,-0.11,0.427,0.457
label905,0.481,0.477,0.409,0.552,0.441,-0.039,0.46,0.499
label906,0.458,0.464,0.539,0.377,0.498,-0.086,0.45,0.466
label907,0.545,0.545,0.552,0.539,0.548,0.091,0.564,0.6
label908,0.542,0.541,0.552,0.532,0.547,0.084,0.547,0.544
label909,0.416,0.402,0.344,0.487,0.371,-0.171,0.382,0.419
label910,0.474,0.478,0.552,0.396,0.512,-0.053,0.437,0.439
label911,0.536,0.535,0.552,0.519,0.543,0.071,0.539,0.535
label912,0.506,0.507,0.455,0.558,0.479,0.013,0.491,0.516
label913,0.455,0.458,0.494,0.416,0.475,-0.091,0.442,0.464
label914,0.49,0.488,0.39,0.591,0.433,-0.02,0.47,0.512
label915,0.526,0.526,0.526,0.526,0.526,0.052,0.502,0.486
label916,0.442,0.444,0.468,0.416,0.456,-0.117,0.479,0.487
label917,0.519,0.52,0.506,0.532,0.513,0.039,0.53,0.509
label918,0.516,0.517,0.487,0.545,0.502,0.033,0.512,0.528
label919,0.526,0.527,0.5,0.552,0.513,0.052,0.528,0.506
label920,0.49,0.492,0.571,0.409,0.529,-0.02,0.462,0.47
label921,0.51,0.51,0.487,0.532,0.498,0.02,0.493,0.507
label922,0.38,0.376,0.364,0.396,0.37,-0.24,0.361,0.416
label923,0.503,0.503,0.558,0.448,0.529,0.007,0.501,0.496
label924,0.451,0.436,0.331,0.571,0.376,-0.1,0.474,0.5
label925,0.455,0.459,0.513,0.396,0.485,-0.092,0.449,0.494
label926,0.468,0.46,0.37,0.565,0.41,-0.066,0.46,0.505
label927,0.477,0.474,0.416,0.539,0.443,-0.046,0.437,0.464
label928,0.481,0.477,0.396,0.565,0.433,-0.04,0.433,0.455
label929,0.474,0.476,0.526,0.422,0.5,-0.052,0.488,0.485
label930,0.445,0.453,0.532,0.357,0.49,-0.112,0.413,0.443
label931,0.455,0.457,0.481,0.429,0.468,-0.091,0.455,0.458
label932,0.526,0.53,0.461,0.591,0.493,0.052,0.519,0.537
label933,0.464,0.459,0.403,0.526,0.429,-0.072,0.433,0.438
label934,0.503,0.503,0.519,0.487,0.511,0.006,0.487,0.473
label935,0.484,0.481,0.409,0.558,0.442,-0.033,0.448,0.478
label936,0.503,0.503,0.565,0.442,0.532,0.007,0.481,0.481
label937,0.406,0.405,0.403,0.409,0.404,-0.188,0.389,0.454
label938,0.477,0.479,0.506,0.448,0.492,-0.046,0.451,0.477
label939,0.442,0.436,0.396,0.487,0.415,-0.117,0.421,0.429
label940,0.474,0.476,0.506,0.442,0.491,-0.052,0.465,0.459
label941,0.506,0.507,0.494,0.519,0.5,0.013,0.516,0.546
label942,0.497,0.496,0.409,0.584,0.448,-0.007,0.517,0.515
label943,0.558,0.558,0.558,0.558,0.558,0.117,0.533,0.507
label944,0.442,0.444,0.468,0.416,0.456,-0.117,0.461,0.462
label945,0.458,0.458,0.455,0.461,0.456,-0.084,0.452,0.466
label946,0.442,0.443,0.455,0.429,0.449,-0.117,0.434,0.453
