label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label406,0.54,0.538,0.56,0.52,0.549,0.08,0.469,0.479
label407,0.46,0.455,0.4,0.52,0.426,-0.081,0.491,0.478
label408,0.38,0.393,0.44,0.32,0.415,-0.242,0.398,0.441
label409,0.44,0.429,0.36,0.52,0.391,-0.122,0.397,0.428
label410,0.46,0.458,0.44,0.48,0.449,-0.08,0.432,0.426
label411,0.46,0.462,0.48,0.44,0.471,-0.08,0.397,0.413
label412,0.6,0.6,0.6,0.6,0.6,0.2,0.538,0.487
label413,0.48,0.48,0.48,0.48,0.48,-0.04,0.442,0.514
label414,0.5,0.5,0.48,0.52,0.49,0,0.542,0.599
label415,0.52,0.517,0.6,0.44,0.556,0.041,0.469,0.464
label416,0.38,0.385,0.4,0.36,0.392,-0.24,0.317,0.38
label417,0.48,0.48,0.48,0.48,0.48,-0.04,0.478,0.485
label418,0.4,0.414,0.48,0.32,0.444,-0.203,0.288,0.377
label419,0.54,0.55,0.44,0.64,0.489,0.082,0.582,0.556
label420,0.48,0.481,0.52,0.44,0.5,-0.04,0.451,0.556
label421,0.38,0.375,0.36,0.4,0.367,-0.24,0.261,0.368
label422,0.36,0.348,0.32,0.4,0.333,-0.281,0.339,0.387
label423,0.5,0.5,0.52,0.48,0.51,0,0.411,0.422
label424,0.36,0.37,0.4,0.32,0.385,-0.281,0.274,0.379
label425,0.58,0.6,0.48,0.68,0.533,0.163,0.499,0.536
label426,0.4,0.407,0.44,0.36,0.423,-0.201,0.398,0.423
label427,0.44,0.455,0.6,0.28,0.517,-0.127,0.454,0.462
label428,0.52,0.52,0.52,0.52,0.52,0.04,0.552,0.633
label429,0.38,0.35,0.28,0.48,0.311,-0.245,0.309,0.379
label430,0.54,0.538,0.56,0.52,0.549,0.08,0.525,0.495
label431,0.38,0.385,0.4,0.36,0.392,-0.24,0.31,0.427
label432,0.46,0.464,0.52,0.4,0.491,-0.081,0.451,0.502
label433,0.46,0.458,0.44,0.48,0.449,-0.08,0.358,0.395
label434,0.6,0.619,0.52,0.68,0.565,0.203,0.589,0.54
label435,0.26,0.286,0.32,0.2,0.302,-0.483,0.278,0.467
label436,0.6,0.586,0.68,0.52,0.63,0.203,0.603,0.578
label437,0.58,0.583,0.56,0.6,0.571,0.16,0.563,0.542
label438,0.52,0.52,0.52,0.52,0.52,0.04,0.474,0.452
label439,0.44,0.448,0.52,0.36,0.481,-0.122,0.365,0.402
label440,0.52,0.519,0.56,0.48,0.538,0.04,0.598,0.574
label441,0.52,0.522,0.48,0.56,0.5,0.04,0.419,0.464
label442,0.56,0.556,0.6,0.52,0.577,0.12,0.53,0.518
label443,0.58,0.591,0.52,0.64,0.553,0.161,0.603,0.709
label444,0.48,0.48,0.48,0.48,0.48,-0.04,0.499,0.498
label445,0.34,0.346,0.36,0.32,0.353,-0.32,0.267,0.365
label446,0.44,0.44,0.44,0.44,0.44,-0.12,0.386,0.408
label447,0.4,0.4,0.4,0.4,0.4,-0.2,0.435,0.476
label448,0.54,0.542,0.52,0.56,0.531,0.08,0.536,0.549
label449,0.46,0.458,0.44,0.48,0.449,-0.08,0.47,0.466
label450,0.48,0.48,0.48,0.48,0.48,-0.04,0.472,0.471
label451,0.62,0.615,0.64,0.6,0.627,0.24,0.685,0.662
label452,0.34,0.346,0.36,0.32,0.353,-0.32,0.315,0.396
label453,0.52,0.52,0.52,0.52,0.52,0.04,0.523,0.483
label454,0.52,0.517,0.6,0.44,0.556,0.041,0.597,0.553
label455,0.3,0.292,0.28,0.32,0.286,-0.4,0.214,0.361
label456,0.58,0.583,0.56,0.6,0.571,0.16,0.574,0.542
label457,0.54,0.536,0.6,0.48,0.566,0.081,0.454,0.453
label458,0.44,0.444,0.48,0.4,0.462,-0.12,0.363,0.431
label459,0.44,0.435,0.4,0.48,0.417,-0.12,0.302,0.379
label460,0.32,0.345,0.4,0.24,0.37,-0.365,0.291,0.373
label461,0.5,0.5,0.56,0.44,0.528,0,0.445,0.437
label462,0.48,0.48,0.48,0.48,0.48,-0.04,0.432,0.438
label463,0.28,0.211,0.16,0.4,0.182,-0.453,0.286,0.368
label464,0.3,0.321,0.36,0.24,0.34,-0.403,0.248,0.358
label465,0.48,0.481,0.52,0.44,0.5,-0.04,0.534,0.623
label466,0.2,0.2,0.2,0.2,0.2,-0.6,0.125,0.324
label467,0.46,0.462,0.48,0.44,0.471,-0.08,0.483,0.481
