label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label798,0.28,0.359,0.56,0,0.438,-0.531,0.006,0.307
label799,0.08,0.111,0.12,0.04,0.115,-0.843,0.054,0.314
label800,0.08,0.111,0.12,0.04,0.115,-0.843,0.078,0.317
label801,0.58,0.559,0.76,0.4,0.644,0.171,0.514,0.51
label802,0.52,0.515,0.68,0.36,0.586,0.042,0.373,0.407
label803,0.3,0.143,0.08,0.52,0.103,-0.445,0.152,0.331
label804,0.6,0.571,0.8,0.4,0.667,0.218,0.549,0.498
label805,0.44,0.333,0.12,0.76,0.176,-0.156,0.32,0.429
label806,0.36,0.316,0.24,0.48,0.273,-0.288,0.357,0.461
label807,0.46,0.476,0.8,0.12,0.597,-0.109,0.12,0.33
label808,0.64,0.6,0.84,0.44,0.7,0.306,0.536,0.53
label809,0.42,0.333,0.16,0.68,0.216,-0.187,0.498,0.493
label810,0.52,0.6,0.12,0.92,0.2,0.067,0.584,0.617
label811,0.52,0.667,0.08,0.96,0.143,0.084,0.416,0.542
label812,0.28,0.296,0.32,0.24,0.308,-0.441,0.205,0.355
label813,0,0,0,0,0,-1,0,0.307
label814,0.38,0.125,0.04,0.72,0.061,-0.327,0.147,0.332
label815,0.4,0.407,0.44,0.36,0.423,-0.201,0.238,0.358
label816,0.58,0.643,0.36,0.8,0.462,0.178,0.371,0.494
label817,0.56,0.6,0.36,0.76,0.45,0.131,0.523,0.51
label818,0.42,0.45,0.72,0.12,0.554,-0.2,0.304,0.377
label819,0.34,0.375,0.48,0.2,0.421,-0.333,0.157,0.335
label820,0.14,0,0,0.28,0,-0.75,0.194,0.346
label821,0.52,0.513,0.8,0.24,0.625,0.048,0.408,0.426
label822,0.58,0.625,0.4,0.76,0.488,0.171,0.394,0.477
label823,0.22,0.111,0.08,0.36,0.093,-0.583,0.178,0.373
label824,0.44,0.444,0.48,0.4,0.462,-0.12,0.347,0.424
label825,0.58,0.643,0.36,0.8,0.462,0.178,0.541,0.556
label826,0.08,0.111,0.12,0.04,0.115,-0.843,0.027,0.308
label827,0.02,0,0,0.04,0,-0.961,0,0.307
label828,0.38,0.25,0.12,0.64,0.162,-0.281,0.331,0.392
label829,0.34,0.405,0.68,0,0.507,-0.436,0.026,0.31
label830,0.58,0.556,0.8,0.36,0.656,0.178,0.555,0.525
label831,0.4,0.439,0.72,0.08,0.545,-0.26,0.072,0.32
label832,0.28,0.261,0.24,0.32,0.25,-0.441,0.194,0.342
label833,0.56,0.545,0.72,0.4,0.621,0.127,0.531,0.6
label834,0.06,0.107,0.12,0,0.113,-0.886,0.008,0.307
label835,0.22,0.294,0.4,0.04,0.339,-0.6,0.043,0.314
label836,0.6,0.571,0.8,0.4,0.667,0.218,0.584,0.612
label837,0.68,0.629,0.88,0.48,0.733,0.393,0.597,0.527
label838,0.58,0.643,0.36,0.8,0.462,0.178,0.509,0.533
label839,0.42,0.452,0.76,0.08,0.567,-0.218,0.277,0.368
label840,0.6,0.667,0.4,0.8,0.5,0.218,0.347,0.46
label841,0.24,0,0,0.48,0,-0.593,0.021,0.308
label842,0.52,0.538,0.28,0.76,0.368,0.046,0.555,0.545
label843,0.38,0.429,0.72,0.04,0.537,-0.327,0.154,0.331
label844,0.02,0.038,0.04,0,0.039,-0.961,0,0.307
label845,0.38,0.125,0.04,0.72,0.061,-0.327,0.05,0.347
label846,0.62,0.688,0.44,0.8,0.537,0.257,0.587,0.563
label847,0.02,0.038,0.04,0,0.039,-0.961,0.011,0.307
label848,0.06,0.042,0.04,0.08,0.041,-0.881,0.05,0.314
label849,0.48,0.476,0.4,0.56,0.435,-0.041,0.378,0.415
label850,0.32,0.304,0.28,0.36,0.292,-0.361,0.267,0.388
label851,0.4,0.442,0.76,0.04,0.559,-0.288,0.08,0.319
label852,0.18,0.25,0.32,0.04,0.281,-0.667,0.21,0.358
label853,0.12,0.048,0.04,0.2,0.043,-0.77,0.029,0.308
label854,0.04,0.04,0.04,0.04,0.04,-0.92,0.042,0.346
label855,0.44,0.457,0.64,0.24,0.533,-0.131,0.53,0.635
label856,0.04,0.074,0.08,0,0.077,-0.923,0.011,0.307
label857,0.28,0.351,0.52,0.04,0.419,-0.502,0.027,0.311
label858,0.36,0.419,0.72,0,0.529,-0.403,0.138,0.332
label859,0,0,0,0,0,-1,0,0.307
label860,0.06,0,0,0.12,0,-0.886,0,0.307
label861,0.4,0.143,0.04,0.76,0.062,-0.288,0.142,0.364
label862,0.24,0.259,0.28,0.2,0.269,-0.522,0.242,0.355
label863,0.3,0.143,0.08,0.52,0.103,-0.445,0.226,0.384
label864,0.6,0.571,0.8,0.4,0.667,0.218,0.386,0.439
label865,0.04,0.074,0.08,0,0.077,-0.923,0,0.307
label866,0.32,0.091,0.04,0.6,0.056,-0.435,0.04,0.346
label867,0.6,0.568,0.84,0.36,0.677,0.228,0.461,0.501
label868,0.12,0.087,0.08,0.16,0.083,-0.762,0.146,0.332
label869,0.24,0.19,0.16,0.32,0.174,-0.527,0.333,0.392
label870,0.44,0.463,0.76,0.12,0.576,-0.156,0.413,0.42
label871,0.44,0.465,0.8,0.08,0.588,-0.173,0.152,0.331
