0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
mrhl,0.157646,0.103909,-0.321335,0.008009,0.387719,0.154126,0.040453,-0.280072,-0.518871,0.142383,-0.048736,0.240342,0.139968,-0.039758,-0.177618,0.400636,0.050910,0.216693,-0.287822,-0.107184,-0.516027,0.673881,-0.050373,0.235832,-0.379565,0.061507,0.327893,-0.103650,-0.129710,-0.028972,0.036363,-0.098294,0.017254,0.258399,0.238649,0.091174,-0.386736,-0.162279,0.292232,-0.273173,0.158722,-0.236394,-0.084313,-0.514680,0.026664,-0.190270,0.149941,-0.190567,0.127194,0.291799,-0.108967,0.062242,0.209754,0.077178,-0.204282,-0.421988,-0.214670,-0.538912,0.024235,-0.137978,-0.067750,-0.004798,-0.240213,0.076781,1
NONMMUG034886,0.226554,0.069036,-0.247436,-0.011255,0.271256,0.027613,-0.056431,-0.162652,-0.243175,0.051153,0.058283,0.087895,0.239480,-0.002253,-0.144128,0.301432,-0.016630,0.052554,-0.233109,-0.174330,-0.221303,0.375398,-0.127130,0.086202,0.023602,0.301143,0.093728,0.088624,-0.008816,-0.111048,-0.041526,-0.009724,0.095815,-0.011066,0.191097,0.119727,-0.197502,-0.024731,0.212470,-0.143509,0.074642,-0.180487,-0.178620,-0.330074,0.017017,-0.182967,0.056667,-0.262442,0.151403,0.125749,-0.106103,0.134899,0.143744,0.186187,-0.206592,-0.085522,-0.083383,-0.284418,-0.135948,-0.182394,-0.133919,0.133472,-0.346330,0.026538,1
Dlx6os1,0.569266,0.106504,-0.178914,0.281904,-0.022012,-0.090448,0.254224,-0.196123,-0.386131,0.065429,-0.033292,0.206348,0.327268,0.098054,-0.146830,0.472495,-0.800587,-0.805505,-0.228979,-0.236648,0.332265,0.109307,0.416508,0.297321,-0.805914,-0.338118,-0.095631,0.445555,0.283457,-0.076803,0.017423,-0.573946,-0.130786,-0.189576,0.555299,-0.015177,-0.122368,0.243004,0.403896,-0.257081,0.308788,-0.590967,-0.045028,-0.252367,0.154742,-0.304749,0.141758,-0.485776,0.287581,0.164281,-0.108956,0.103978,0.306632,0.269407,-0.780361,-0.101364,0.215167,-0.557524,-0.494431,0.000386,-0.044171,0.500250,-0.406038,0.348745,1
5033428I22Rik,0.406827,0.393153,-0.259846,0.083588,0.097742,-0.367872,0.142563,-0.253106,-0.562045,0.062572,0.126147,0.455602,0.292989,-0.145692,-0.261370,0.258621,-0.515307,-0.739882,-0.217045,-0.113838,0.483722,0.158806,0.226094,0.162250,-0.744253,-0.493196,0.124617,0.315304,0.159937,0.047865,-0.144526,-0.581732,-0.058650,-0.474202,0.475765,0.119837,0.001802,0.246740,0.556261,-0.513809,-0.193203,-0.371914,-0.102197,-0.212600,-0.054134,-0.503386,0.069118,-0.523616,0.256838,0.220587,-0.464261,0.454557,0.399702,0.047117,-0.669954,-0.104748,0.130490,-0.640342,-0.683331,0.012644,-0.240865,0.241352,-0.338920,0.577702,1
NONMMUG026355,-0.070577,0.108171,0.112223,-0.209438,0.430734,0.180894,0.126354,-0.122907,-0.227302,-0.029585,0.046321,-0.254320,0.261038,-0.241637,-0.117267,0.211489,0.032462,-0.274689,0.475955,0.157225,0.617806,0.489042,0.342763,0.501864,0.094997,0.623998,0.118599,-0.139107,-0.150870,-0.439205,0.440881,0.018975,0.195622,0.062898,0.101471,0.403785,-0.344576,-0.268994,0.489900,-0.008736,-0.184262,-0.277660,-0.312570,-0.490602,-0.183345,0.101201,-0.346891,-0.600339,0.030609,0.046600,-0.349168,-0.437126,0.514846,0.011201,0.212811,0.028087,-0.072833,-0.439376,-0.128570,0.031699,-0.561224,-0.526228,-0.720578,-0.162824,1
NONMMUG023427,0.201749,-0.107374,-0.185674,0.137706,0.367504,0.068219,0.048489,-0.151253,-0.246120,0.201103,-0.088133,0.077682,0.193832,-0.163583,-0.396961,0.325547,0.039717,-0.115497,0.114648,-0.198621,0.014135,0.407099,-0.060734,0.178892,-0.159414,0.315426,0.208543,-0.087183,-0.149615,-0.055192,0.245035,0.050121,0.045323,0.040318,0.360149,0.211916,-0.429145,-0.144055,0.208550,-0.111240,0.005326,-0.010474,-0.025774,-0.294148,-0.101571,-0.236112,-0.255833,-0.334555,0.184652,0.114435,-0.114930,0.069511,0.164067,-0.156504,-0.134996,0.042053,0.032502,-0.202888,-0.022974,0.038226,-0.027586,0.127658,-0.494955,0.051152,0
Gm14582,0.300053,-0.071091,-0.213889,0.181201,0.231478,-0.179368,-0.007164,-0.101210,-0.361478,0.230461,-0.009187,0.137240,0.351611,0.165337,0.011883,0.417201,-0.676665,-0.698403,-0.358179,-0.396271,0.193499,0.063431,0.033654,0.221424,-0.640928,-0.000398,0.072118,0.513227,0.330011,-0.245073,-0.006669,-0.441700,0.072553,-0.026874,0.434427,-0.080293,-0.126116,0.122945,0.515137,-0.318357,0.319971,-0.290080,-0.317256,-0.401882,-0.043647,0.041700,-0.075664,-0.409907,0.602615,0.342370,-0.100039,0.320010,0.108681,0.046969,-0.563836,-0.164605,0.174111,-0.237741,-0.546021,0.150712,-0.184462,0.526979,-0.461108,0.273469,0
Gm14453,0.393759,-0.007023,-0.448801,0.209137,0.052018,-0.289589,0.118123,-0.294307,-0.155813,0.231325,0.034365,0.285628,0.093922,-0.120089,-0.201765,0.546834,-0.404048,-0.680564,-0.093683,-0.102826,0.007291,0.103567,0.275129,0.453570,-0.587505,-0.089766,-0.151502,0.574117,0.348355,-0.116918,0.095799,-0.570691,-0.271636,-0.246949,0.332470,-0.231811,-0.050531,0.077224,0.516383,-0.287261,0.252909,-0.181801,-0.120406,-0.257667,-0.000712,-0.283515,0.114062,-0.534039,0.117315,0.202687,-0.136658,0.293984,0.129967,-0.009980,-0.446692,-0.095314,0.148646,-0.416618,-0.567716,-0.053282,-0.359093,0.516937,-0.469727,0.261805,0
NONMMUG016352,0.367048,0.043758,-0.222663,0.145439,0.223386,-0.097378,0.004556,-0.128019,-0.108199,0.053226,0.054562,0.178343,0.247921,-0.090685,-0.145603,0.366519,-0.076032,0.013529,-0.020547,-0.160529,-0.127697,0.292720,-0.066983,0.152483,0.052751,0.213607,0.141012,0.198283,-0.024690,-0.044399,-0.057834,0.024850,0.028314,-0.046394,0.386631,0.137300,-0.189368,-0.096509,0.251991,-0.056171,0.144916,-0.168951,-0.188150,-0.253304,-0.070771,-0.080910,-0.129617,-0.235650,0.093419,0.104145,-0.129219,0.272877,-0.033304,-0.035491,-0.101618,0.078130,0.016905,-0.162175,-0.288258,-0.078849,-0.163082,0.168442,-0.275714,-0.099611,0
NONMMUG042948,0.337667,0.103139,-0.197156,0.045885,0.218889,0.045859,0.058373,-0.132237,-0.272721,-0.061469,0.041892,0.106178,0.310776,-0.135667,-0.141618,0.273933,-0.087944,0.110650,-0.121195,-0.189005,-0.177286,0.298356,-0.109777,0.195680,-0.058218,0.280674,0.132860,0.133258,-0.135017,-0.119752,-0.035691,-0.007805,0.155863,0.027344,0.300495,0.125007,-0.333853,-0.010524,0.166322,-0.085228,0.134259,-0.144029,-0.091203,-0.262695,-0.057116,-0.139912,-0.056221,-0.229411,0.195929,0.100517,-0.153355,0.237708,-0.001498,-0.029251,-0.216268,-0.065010,0.042999,-0.212460,-0.220211,0.016321,-0.143312,0.083986,-0.318612,-0.110781,0
Gm20531,0.612850,0.060164,-0.334455,0.150349,0.370471,-0.054892,0.088238,-0.022525,-0.524269,0.110826,0.021322,0.013886,0.441252,-0.079540,0.022347,0.488175,-0.540345,-0.422909,-0.385818,-0.378016,0.170616,-0.085438,0.128489,0.382042,-0.571678,0.124562,-0.048509,0.591640,0.102922,-0.127003,0.133293,-0.373585,0.057428,-0.154222,0.384917,-0.054348,-0.342520,-0.128260,0.263967,-0.380027,0.550935,-0.296001,-0.087251,-0.212848,0.159368,-0.201789,-0.229601,-0.370135,0.362843,0.435067,-0.122234,0.337583,0.002073,-0.029913,-0.360611,-0.215445,0.179103,-0.339214,-0.558233,-0.208628,-0.278113,0.381873,-0.217357,0.271798,0
NONMMUG014139,0.309262,-0.184712,-0.328013,0.218177,0.403309,-0.085114,0.125672,0.016428,-0.232593,0.316185,-0.012063,0.160914,0.246816,-0.067102,-0.305094,0.251951,-0.063003,-0.037452,-0.228054,-0.093462,-0.312357,0.158662,-0.072068,0.319410,-0.391976,0.222217,0.255043,0.228569,-0.196054,0.057604,-0.196976,0.076242,0.216385,-0.224245,0.281645,0.104613,-0.284360,-0.023843,0.447462,0.017759,0.000744,0.009984,-0.072801,-0.239094,-0.107560,-0.126479,-0.209161,-0.377462,0.092081,0.031074,0.106762,0.075463,0.187010,0.111312,-0.154074,-0.147130,-0.144607,-0.442619,0.043780,-0.080194,0.084243,0.135923,-0.409752,0.243897,0
