0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,label
Gm15137,-0.714758,-0.281093,0.194910,0.009889,0.636362,-0.107813,-0.087157,-0.048235,-0.405479,-0.742150,0.548112,-0.218744,-0.819899,0.164220,0.121248,0.094054,-0.014429,1.209430,0.054684,0.114771,0.105390,-0.172652,-0.086923,0.499959,0.820336,0.537261,-0.088681,0.502789,-0.418122,0.890760,-0.476282,0.133679,0
Gm25413,-0.105649,0.021349,0.183704,0.018329,0.405770,0.210519,0.186982,0.473196,0.015597,-0.367069,-0.038265,0.236257,-0.082132,-0.005994,0.167785,-0.497947,0.162255,0.581904,0.068196,0.375680,-0.032373,0.220501,0.510603,0.140582,-0.238078,-0.030658,-0.214181,0.359591,-0.063571,-0.040494,0.033808,-0.077201,0
NONMMUG009391,-0.169120,-0.004161,0.259581,0.123662,0.452326,0.141096,0.170349,0.398964,0.026299,-0.344686,0.055172,0.194336,-0.095656,-0.047836,0.118887,-0.444492,0.241736,0.711693,-0.034616,0.197431,-0.062101,0.182544,0.410543,0.045245,-0.194607,-0.086231,-0.193827,0.290210,-0.108930,0.032648,0.043217,-0.091056,0
NONMMUG036495,-0.148057,-0.055168,0.259680,0.004470,0.426877,0.112899,0.037108,0.343591,0.099142,-0.428955,0.042638,0.273839,-0.058219,0.022310,0.195382,-0.480015,0.128203,0.671761,0.002168,0.227319,-0.077798,0.266275,0.398195,0.093765,-0.145028,-0.184282,-0.118250,0.298270,-0.140550,-0.010100,0.089295,-0.072955,0
NONMMUG012984,-0.064780,-0.020091,0.112430,0.079428,0.360386,0.203491,0.125760,0.335937,-0.016919,-0.369363,0.008125,0.310367,-0.141332,0.102759,0.141774,-0.444161,0.081817,0.699290,0.046133,0.247432,-0.101082,0.190462,0.403181,0.059690,-0.160810,-0.063884,-0.189026,0.360744,-0.132440,0.079827,0.164753,-0.148722,0
NONMMUG014441,-0.176830,0.008310,0.205211,0.025448,0.430681,0.202175,0.075672,0.418741,-0.052943,-0.443490,-0.119744,0.194124,-0.139160,0.039407,0.096304,-0.403091,0.193740,0.611929,-0.002091,0.253744,0.051325,0.254464,0.434280,0.069773,-0.173331,-0.156053,-0.183565,0.353550,-0.081799,0.027064,0.057558,-0.082531,0
NONMMUG039437,-0.050309,-0.030601,0.141872,0.081562,0.439749,0.156416,0.214340,0.383458,0.062913,-0.380859,0.065833,0.202675,-0.120084,0.013683,0.120738,-0.549607,0.097406,0.706972,0.015512,0.336118,-0.046919,0.219808,0.379572,0.101532,-0.204645,-0.096724,-0.141936,0.264031,-0.150648,0.086538,0.088674,-0.124038,0
NONMMUG009235,-0.116646,-0.051487,0.087084,0.162975,0.377645,0.168035,0.175558,0.362271,0.035066,-0.389811,0.060738,0.274822,-0.104959,-0.001695,0.089277,-0.431724,0.089679,0.669050,0.073057,0.318549,-0.059629,0.288427,0.431459,-0.039323,-0.196328,-0.085067,-0.220211,0.276323,-0.096397,0.076271,0.056731,-0.111035,0
NONMMUG033434,-0.059068,-0.034868,0.201062,0.036576,0.426259,0.161686,0.212692,0.326438,0.029379,-0.393930,0.072163,0.249931,-0.142488,-0.008392,0.132542,-0.504992,0.225461,0.650508,0.006317,0.268550,-0.009756,0.285135,0.397059,0.075225,-0.234727,-0.107379,-0.106393,0.325015,-0.044521,-0.008921,0.065223,-0.050787,0
RPI002_008776,-0.109786,-0.312941,0.134217,-0.476143,0.741556,0.089710,0.099364,-0.073644,0.063179,-0.320399,-0.198786,0.835382,-0.125656,-0.120281,-0.768017,0.055529,0.256097,0.281394,-0.071749,0.174687,-0.598458,0.179403,-0.372506,0.064055,0.048712,-0.098681,-0.161972,0.700431,-0.225777,-0.057462,-0.300532,0.079176,0
Gm25545,-0.151928,-0.274761,0.180422,-0.366401,0.745926,0.139396,0.122096,-0.030329,0.060232,-0.357855,-0.086607,0.846350,-0.271143,-0.194495,-0.660574,0.049385,0.350340,0.097429,-0.018026,0.229592,-0.600438,0.156718,-0.322388,0.062158,0.086337,-0.017610,-0.174289,0.652125,-0.228297,-0.008756,-0.309733,0.088738,0
NONMMUG042190,-0.563257,-0.252644,0.022305,-0.675546,0.152268,-0.215548,-0.022235,-0.384715,-0.378477,-0.473705,0.445194,-0.027843,-0.323088,0.326708,0.216663,-0.115722,-0.052011,1.091940,-0.414792,0.138553,-0.003185,-0.259321,0.050045,0.499680,-0.038114,0.317108,-0.470973,0.416584,-0.387352,0.279214,-0.927393,-0.082230,0
NONMMUG032531,-0.536298,-0.226446,-0.025115,-0.718251,0.195192,-0.252800,-0.018752,-0.329694,-0.271519,-0.576591,0.427496,-0.178696,-0.355256,0.325118,0.146812,-0.076492,-0.012660,1.126831,-0.335250,0.013397,-0.069711,-0.250942,-0.009119,0.532074,0.028216,0.396759,-0.384561,0.370340,-0.441316,0.302725,-0.896449,-0.148172,0
NONMMUG035589,-0.597156,-0.224338,0.044119,-0.635712,0.083920,-0.216466,-0.007661,-0.303399,-0.256668,-0.524917,0.423258,-0.081902,-0.408282,0.294872,0.211137,-0.110676,-0.010712,1.003909,-0.392058,0.192243,-0.127650,-0.231141,-0.000066,0.407142,-0.068363,0.383099,-0.489858,0.359628,-0.549928,0.243730,-0.891535,-0.085471,0
