name,score,pred label
CTD-2013N24.2,0.7061726126175358,1
RP11-530C5.1,0.9534261388897991,1
SNHG11,1.1428438101673806,1
CTC-228N24.3,1.2119648606250437,1
RP11-315I20.1,0.7394862439673295,1
LINC00152,1.170809616625366,1
RP4-622L5.2,1.0147781558985862,1
MIR181A2HG,1.1800376330796811,1
RP11-69E11.8,0.8343751380060865,1
LINC00969,1.06589272115756,1
LIPE-AS1,1.0373495661723184,1
NONHSAG053814,0.9431202294059997,1
RP11-46C20.1,1.2703145442954082,1
AC005562.1,0.8118186271462267,1
RP11-296K13.4,0.9705735198543834,1
AC005154.5,0.9841715205319843,1
RP11-654A16.3,0.9664650290596044,1
EPB41L4A-AS1,1.0478740013329757,1
hTR,0.7799540604663562,1
AC005682.5,1.123651531994695,1
