name,score,pred_label
RP11-1094M14.11,0.999954809099114,1
DYX1C1-CCPG1,1.0,1
AC144449.1,0.9999999999569351,1
AC053503.11,0.042186962793469,0
AC005944.2,0.9999159726275842,1
TAPT1-AS1,1.0,1
RP5-1007M22.2,1.0,1
RP11-670E13.5,1.0,1
ZEB1-AS1,1.0,1
CTA-217C2.1,1.0,1
RP11-96K19.2,0.2535108509390586,0
RP11-24C3.2,1.0,1
RP5-1057J7.6,1.0,1
RP11-317G6.1,1.0,1
RP11-517O13.1,1.0,1
RP11-21J18.1,1.0,1
RP11-386G11.5,0.999999623361352,1
CTD-2314B22.2,1.0,1
RP11-127I20.7,1.0,1
ANKRD10-IT1,0.9939748081564226,1
MKLN1-AS1,1.0,1
FTX,1.0,1
PINK1-AS,1.0,1
LINC00662,1.0,1
RP11-113K21.4,1.0,1
LINC00958,1.0,1
AC003665.1,1.0,1
NONHSAG039865,1.4925964100467567e-23,0
DGUOK-AS1,0.9999999999999292,1
RP11-110I1.6,1.0,1
RP11-421L21.3,1.0,1
AC068718.1,1.0,1
GS1-122H1.2,1.0,1
RP11-429B14.1,1.0,1
RP11-680A11.5,1.0,1
CTC-429P9.2,1.0,1
NPPA-AS1,0.9999999999999456,1
RP11-46A10.5,1.0,1
RP3-508I15.14,1.0,1
S100A13,0.9999999999999998,1
CTB-107G13.1,0.003639510291272927,0
RP11-506H20.1,0.9999998006188675,1
RP5-1033H22.2,1.0,1
RP11-138I1.4,1.0,1
RP11-484D2.2,1.0,1
AP000320.7,1.0,1
AC074212.5,1.0,1
BX322557.10,1.0,1
MIR22HG,1.0,1
PROSER2-AS1,1.0,1
RP11-529H2.2,1.0,1
RP11-648K4.2,1.0,1
AC074286.1,1.0,1
MLK7-AS1,1.0,1
CTD-2651B20.7,1.0,1
N4BP2L1,0.9999999999831859,1
AC093415.2,0.9999999963660622,1
ERVK3-1,0.9883249232840359,1
RP11-518L10.5,0.9999999999999998,1
RP11-631N16.2,1.0,1
AC004447.2,0.9999999965256228,1
RP11-54A4.2,1.0,1
AC005786.7,0.0007085738451408381,0
AP001432.14,0.9999999999999989,1
AL163953.3,1.0,1
RP11-152N13.5,1.0,1
HMGN2P28,1.0,1
RP11-111A22.1,0.9999999999999951,1
RP11-575L7.8,1.0,1
AC006378.2,0.9999999999999989,1
AC009495.2,1.0,1
AC009948.5,1.0,1
RP4-756H11.3,1.0,1
RP11-665G4.1,0.014824716313295544,0
HNRNPU-AS1,1.0,1
AC019221.4,0.999999999999962,1
RP11-382A20.4,1.0,1
